time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,943,1030,1940,1962,2675,4485,3945,4524,3780,3160,2125,1315,31884
1,578,727,1305,1369,1903,2882,2596,3088,2416,2135,1653,903,21555
2,377,505,718,854,1286,1931,1736,2105,1780,1390,1099,609,14390
3,290,299,554,457,737,1194,1268,1268,1100,875,723,399,9164
4,214,221,413,321,537,807,774,872,722,530,443,295,6149
5,163,154,313,265,503,609,495,578,433,335,299,198,4345
6,322,317,600,698,1105,1324,1143,1159,1077,710,670,452,9577
7,596,738,1200,1612,2250,2783,2326,2578,2490,1642,1637,824,20676
8,1331,1582,2853,3519,5177,5823,4548,5340,5351,3613,3480,1944,44561
9,2091,2773,4983,6430,8978,10214,7697,9917,9286,5762,5745,3316,77192
10,2908,3950,6498,9721,13062,14483,10462,14927,12654,8151,7976,4876,109668
11,3861,5143,8527,12954,16705,18037,13674,19134,15843,10626,10025,5648,140177
12,4453,5950,9979,15249,19382,19955,15695,21736,18238,12300,11077,6171,160185
13,4850,6494,10947,16897,20772,20908,17382,22214,18650,13536,11395,6692,170737
14,4966,6814,11203,17157,20358,22067,18296,22052,18218,14111,11561,6805,173608
15,4804,6838,11019,17662,19317,22849,17663,22546,17181,15023,11754,6798,173454
16,4601,6515,10652,16599,19198,22181,16740,21273,17708,15730,11571,6584,169352
17,3454,5684,9608,14880,16340,22137,15772,20080,17305,14291,9466,5237,154254
18,3019,3971,7904,12934,15674,19209,16629,19417,16089,11927,8276,4529,139578
19,2628,2705,5941,9902,13066,16303,14754,16630,12444,8843,6649,3657,113522
20,2157,2048,3872,6147,9198,13929,11483,11798,8631,6287,4860,2717,83127
21,1620,1633,2780,4255,6754,9142,8172,8868,6403,4631,3844,2183,60285
22,1570,1929,2351,3597,5371,7135,6415,7085,5310,4092,3264,1924,50043
23,1168,1181,1760,2601,4105,5309,4427,5354,3731,3007,2407,1449,36499
