,longitude,latitude,usage
8 Ave & W 31 St,-73.99481051,40.75044999,181865
Lafayette St & E 8 St,-73.9907647,40.73028666,170721
E 17 St & Broadway,-73.99009296,40.73704984,165660
W 21 St & 6 Ave,-73.99415556,40.74173969,148506
Broadway & E 14 St,-73.99074142,40.73454567,130525
West St & Chambers St,-74.01322069,40.71754834,125524
University Pl & E 14 St,-73.99200509,40.73492695,123768
Broadway & E 22 St,-73.98955109,40.7403432,121799
Cleveland Pl & Spring St,-73.99720307,40.7218158,120510
Broadway & W 24 St,-73.98915076,40.7423543,115322
Greenwich Ave & 8 Ave,-74.0026376103,40.7390169121,115090
Christopher St & Greenwich St,-74.00711384,40.73291553,113044
Broadway & W 60 St,-73.98191841,40.76915505,112165
8 Ave & W 33 St,-73.993934,40.751551,108980
Carmine St & 6 Ave,-74.00214988,40.73038599,108279
W 41 St & 8 Ave,-73.9900262,40.75640548,106090
W 18 St & 6 Ave,-73.99456405,40.73971301,105967
Vesey Pl & River Terrace,-74.01658354,40.7153379,105457
E 43 St & Vanderbilt Ave,-73.9779874,40.75320159,105061
W 31 St & 7 Ave,-73.9916,40.749156,104251
E 42 St & Vanderbilt Ave,-73.97837,40.752416,101974
2 Ave & E 31 St,-73.97706058,40.74290902,99699
W Houston St & Hudson St,-74.00748842,40.72873888,97318
1 Ave & E 15 St,-73.98165557,40.73221853,97211
W 38 St & 8 Ave,-73.99138152,40.75466591,96055
W 33 St & 7 Ave,-73.99093085,40.75019995,95143
W 22 St & 10 Ave,-74.00451887,40.74691959,94178
W 13 St & 6 Ave,-73.99704374,40.73649403,92041
W 17 St & 8 Ave,-74.00149746,40.74177603,91714
South End Ave & Liberty St,-74.015756,40.711512,90161
W 24 St & 7 Ave,-73.99529885,40.74487634,89860
Lafayette St & Jersey St,-73.99565293,40.72456089,88260
9 Ave & W 22 St,-74.00197139,40.7454973,85992
W 39 St & 9 Ave,-73.99372222,40.75645824,85729
W 4 St & 7 Ave S,-74.00293877,40.73401143,85345
E 32 St & Park Ave,-73.98194829,40.7457121,85027
Centre St & Chambers St,-74.0046073,40.71273266,84825
Mercer St & Bleecker St,-73.99695094,40.72679454,84009
Barrow St & Hudson St,-74.00674436,40.73172428,83712
Greenwich St & Warren St,-74.01121978,40.71542197,83145
Lexington Ave & E 26 St,-73.98320928,40.74147286,82756
MacDougal St & Prince St,-74.00297088,40.72710258,82649
W 20 St & 11 Ave,-74.007756,40.746745,82612
Great Jones St,-73.99379025,40.72743423,82535
E 10 St & Avenue A,-73.98142006,40.72740794,81885
Lexington Ave & E 24 St,-73.98409214,40.74025878,81214
Broadway & W 58 St,-73.98169333,40.76695317,80135
