,longitude,latitude,usage
W 21 St & 6 Ave,-73.99415556,40.74173969,254485
E 17 St & Broadway,-73.99009296,40.73704984,245361
West St & Chambers St,-74.01322069,40.71754834,215934
Broadway & W 25 St,-73.98918628692627,40.74286877312112,200717
Cleveland Pl & Spring St,-73.99724900722504,40.722103786686034,199203
Broadway & E 14 St,-73.99074142,40.73454567,195016
E 13 St & Avenue A,-73.98067966103554,40.72966729392978,189808
6 Ave & W 33 St,-73.98848395,40.74901271,189419
West St & Liberty St,-74.014847,40.711444,188025
Carmine St & 6 Ave,-74.00214988,40.73038599,185561
University Pl & E 14 St,-73.992085,40.734814,180906
E 33 St & 1 Ave,-73.97449783980846,40.74322681432173,180338
Grand St & Elizabeth St,-73.99596,40.718822,178893
Central Park S & 6 Ave,-73.97634151,40.76590936,178718
7 Ave & Central Park South,-73.9790689945221,40.7667405590595,178083
9 Ave & W 22 St,-74.00197139,40.7454973,177321
12 Ave & W 40 St,-74.00277668,40.76087502,175954
11 Ave & W 41 St,-73.99884222,40.76030096,170612
Pier 40 - Hudson River Park,-74.01129573583603,40.7277140777778,163515
1 Ave & E 16 St,-73.98165557,40.73221853,162082
E 10 St & Avenue A,-73.98142006,40.72740794,161681
W 4 St & 7 Ave S,-74.00293877,40.73401143,159232
Lafayette St & E 8 St,-73.99102628231049,40.73020660529954,159121
W 24 St & 7 Ave,-73.99529885,40.74487634,157958
Greenwich Ave & 8 Ave,-74.0026376103,40.7390169121,157729
8 Ave & W 33 St,-73.993934,40.751551,157585
W 30 St & 10 Ave,-74.002353,40.752694,155110
W 41 St & 8 Ave,-73.9900262,40.75640548,154559
Clinton St & Grand St,-73.9870295,40.71559509,153423
E 7 St & Avenue A,-73.98379855,40.72621788,153387
W 34 St & 11 Ave,-74.0021163,40.75594159,152015
8 Ave & W 31 St,-73.9946848154068,40.7505853470215,148589
10 Ave & W 28 St,-74.00176802,40.75066386,146497
6 Ave & W 34 St,-73.98805,40.74964,145431
W 63 St & Broadway,-73.98261428,40.77163851,145426
Pershing Square North,-73.977706,40.751873,145397
E 6 St & Avenue B,-73.98185424,40.72453734,143999
E 20 St & 2 Ave,-73.98205027,40.73587678,143871
W 22 St & 10 Ave,-74.00451887,40.74691959,142561
St Marks Pl & 2 Ave,-73.98713956,40.7284186,141911
E 25 St & 2 Ave,-73.97973776,40.73912601,140211
E 31 St & 3 Ave,-73.97966069,40.74394314,139280
Canal St & Rutgers St,-73.98990025,40.71427487,139082
Christopher St & Greenwich St,-74.00711384,40.73291553,138266
W 43 St & 10 Ave,-73.99461843,40.76009437,138236
E 2 St & Avenue B,-73.98368779,40.72217444,136103
W 20 St & 10 Ave,-74.005141,40.745686,135594
W 27 St & 7 Ave,-73.993915,40.746647,135390
E 13 St & 2 Ave,-73.9853024482727,40.73153937464073,135301
8 Ave & W 38 St,-73.99177,40.75461,135285
1 Ave & E 18 St,-73.98054420948029,40.73381219196632,134925
W 33 St & 7 Ave,-73.99093085,40.75019995,134203
Norfolk St & Broome St,-73.98802084,40.7172274,134178
W 31 St & 7 Ave,-73.9916,40.749156,134035
W 26 St & 8 Ave,-73.99723551,40.74734825,133331
W 22 St & 8 Ave,-73.99915362,40.74475148,132561
10 Ave & W 14 St,-74.00831580162048,40.74198159994023,131577
E 27 St & 1 Ave,-73.976806,40.739445,130797
Lafayette St & Jersey St,-73.99565293,40.72456089,130408
W 15 St & 6 Ave,-73.99642959237099,40.738046142482766,130380
8 Ave & W 52 St,-73.9851615,40.76370739,129623
2 Ave & E 31 St,-73.97706058,40.74290902,129404
W 20 St & 7 Ave,-73.99726235,40.74238787,129002
Mott St & Prince St,-73.99480012,40.72317958,128339
W 18 St & 6 Ave,-73.99456405,40.73971301,127782
W 49 St & 8 Ave,-73.98788205,40.76227205,125864
Broadway & W 41 St,-73.98658032,40.75513557,125709
E 11 St & 1 Ave,-73.98426726,40.72953837,125335
Allen St & Stanton St,-73.989111,40.722055,125036
1 Ave & E 39 St,-73.97113,40.74714,125003
Allen St & Rivington St,-73.98997825,40.72019576,123994
Allen St & Hester St,-73.991908,40.716059,123579
FDR Drive & E 35 St,-73.97121214,40.744219,123435
E 16 St & 5 Ave,-73.99238967,40.73726186,123420
Broadway & W 58 St,-73.98169333,40.76695317,122472
9 Ave & W 45 St,-73.9912551,40.76019252,122392
Broadway & W 51 St,-73.98336183,40.76228826,121772
