time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,5007,2786,6425,10861,18542,29518,32653,30660,28935,23021,15143,12562,216113
1,2984,1349,2999,5240,9239,16409,17777,16650,15761,11590,8071,6597,114666
2,1953,938,1963,3187,5103,9458,9930,9847,9586,6788,4893,3895,67541
3,1495,624,1360,2102,3174,5861,6189,6179,5913,4067,3278,2505,42747
4,1945,987,1957,2690,3526,6206,6292,6114,5759,4489,4074,3114,47153
5,6657,3768,7784,10001,12200,17378,16256,16545,16894,14843,12610,9726,144662
6,21049,11456,26050,33301,40836,51272,47734,49216,52272,47733,40910,29155,450984
7,37590,19883,48786,63115,77097,93122,84978,86355,107412,104168,87236,62127,871869
8,54186,28185,71194,93538,116007,135277,124799,127533,149648,148388,122350,89611,1260716
9,44815,23812,56737,74641,89674,103707,104252,105122,113322,107739,87037,70510,981368
10,37479,20087,46996,63567,77357,88391,89281,87606,95158,84022,68714,61946,820604
11,40454,21339,50425,68280,84499,96025,96871,94229,98091,88557,72128,68430,879328
12,47071,24500,60136,78683,98625,108790,109076,108482,115780,104432,82658,78538,1016771
13,52508,27483,68602,86744,109427,115737,113542,113529,124762,111097,87794,84969,1096194
14,56714,31477,77564,94470,122062,129366,123945,119507,136258,124817,100540,95392,1212112
15,61137,34559,84000,102795,130222,138647,132961,130630,150226,139755,113964,103951,1322847
16,67231,38983,93447,117509,146907,148789,153408,155366,174934,160625,128152,108403,1493754
17,70939,44718,113067,149024,187358,203414,187590,203993,224979,209751,150007,113895,1858735
18,62841,39792,102813,150189,188266,217437,191510,220735,222011,199862,137768,104210,1837434
19,44670,29116,70248,108707,138289,178587,157446,176976,163497,135215,99293,75933,1377977
20,27278,18618,42610,64224,92046,129594,116186,119739,106229,90521,67497,50309,924851
21,16374,11568,27473,42508,61471,89054,84399,86683,78509,69199,49584,38456,655278
22,12604,8896,20018,33529,50180,71721,68344,75647,63334,57585,40335,32700,534893
23,8050,6040,15573,24944,35818,55957,55554,56154,50697,44184,28155,24032,405158
