time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,2079,2044,3087,4550,5925,7792,6884,6443,9887,6190,3557,4538,62976
1,1248,1374,1964,2936,3785,4949,4465,4433,6477,4044,2122,2980,40777
2,799,872,1080,1653,2458,3336,2952,2805,4293,2479,1273,1736,25736
3,450,573,838,980,1481,2107,1760,1836,2650,1533,814,1094,16116
4,310,325,582,689,970,1307,1225,1169,1677,945,580,688,10467
5,316,372,562,651,833,1402,1212,1037,1455,825,667,614,9946
6,812,930,1391,1834,1880,3329,3173,2666,3435,2123,1763,1618,24954
7,1941,2303,3501,4817,4074,7265,6642,5814,7748,4723,4637,3756,57221
8,4000,4826,6993,9797,8000,13305,12725,10071,15469,8821,9191,7687,110885
9,6695,7691,11573,16679,13636,21852,21294,15531,25395,15420,15048,12473,183287
10,9153,10347,15806,23711,18481,29687,29532,23468,35084,20553,20143,16922,252887
11,11100,12521,19793,30126,22552,35379,34532,30376,43382,26588,23804,20481,310634
12,12487,12937,22656,35530,24566,39588,38756,35125,48588,30345,26673,22916,350167
13,13963,12093,23757,38151,25765,41618,43305,35666,49909,31574,27618,23266,366685
14,14439,11604,23804,39035,26287,39671,43060,34764,49985,31655,27526,22343,364173
15,14380,10478,23924,38418,27731,39253,42616,36193,50581,32714,27003,22362,365653
16,13449,10989,23225,37370,28292,40018,42403,35592,50216,33225,26032,21040,361851
17,10877,9542,21065,33084,27089,38278,41356,35189,47219,32131,21191,17352,334373
18,9338,7812,18060,27502,23452,36357,36534,33785,42091,27447,17294,14086,293758
19,7326,5793,13261,19416,19874,30896,30779,28160,32876,20460,13643,11256,233740
20,5500,4351,8709,11568,14179,23546,22645,19516,22967,14362,9879,8556,165778
21,4326,3358,6616,8300,10022,16267,16048,14796,17822,11681,7610,7340,124186
22,3478,3111,5142,6042,7859,11968,12140,11895,14187,9089,5960,6294,97165
23,2495,2390,3862,4467,6038,9004,8462,8479,10877,6682,4513,4612,71881
