time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,11465,11757,13639,18755,24333,31366,32792,37161,28248,27581,19479,16171,272747
1,6100,6046,6920,10078,13267,16915,18228,19511,15385,14422,10692,8950,146514
2,3770,3618,4033,6060,7835,10209,11053,11706,9360,8992,6666,5397,88699
3,2713,2474,2949,4180,4948,6606,6832,7357,6011,6047,4610,3870,58597
4,3646,3533,4081,4691,5752,6769,7440,7563,6930,7127,5703,4507,67742
5,13847,11950,14447,15604,19704,21194,21084,21723,19424,21235,17799,13559,211570
6,35728,34218,40730,44809,57768,59988,58248,64442,57794,62067,51189,36149,603130
7,76838,74440,89704,94593,123093,113937,106742,118405,129678,144908,114606,78179,1265123
8,109235,107878,131773,138131,179559,173192,162915,190626,185856,219538,170722,119892,1889317
9,78363,76942,95521,107706,134386,133074,135243,153798,137249,158839,124795,91762,1427678
10,54790,55180,67998,80394,101851,100436,104693,117407,104102,117792,93008,70927,1068578
11,56499,56171,68207,82737,108424,108104,104397,122142,106969,115848,95090,73788,1098376
12,65435,64931,77165,94794,124864,123263,115276,139758,122802,132793,107765,81189,1250035
13,69305,68422,85966,102869,136708,126119,124752,146351,129230,142614,114859,87237,1334432
14,79962,76552,97986,116448,157856,139167,133833,155671,145897,162414,129022,103839,1498647
15,90564,84346,111238,133695,179691,157384,144353,167255,165628,185611,146210,116483,1682458
16,103587,95731,126765,154695,204268,188277,174809,203286,190934,218110,162823,123385,1946670
17,126286,126497,165552,207233,267464,250466,245702,292224,240297,293101,194861,136985,2546668
18,111518,112552,151569,196702,251749,238713,246469,290010,235571,269229,175717,123465,2403264
19,80104,80418,104093,141526,184448,179325,201486,223826,185299,185880,126534,91272,1784211
20,54662,54956,68937,92116,126527,133513,155235,159507,129664,131326,88932,63968,1259343
21,40201,39962,50668,69812,88992,99202,115269,118126,98100,100812,69485,50149,940778
22,31983,31159,40116,55831,71288,80703,92158,97398,78356,80750,55362,41488,756592
23,22188,20885,27061,38274,48984,58069,63514,68857,57696,57749,40113,31533,534923
