time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,13287,13088,16733,21262,34402,39749,45978,41246,39283,38878,29856,18744,352506
1,8181,6603,8930,10977,18442,20690,24449,22081,20114,19439,15560,9697,185163
2,5779,3947,5441,6630,10652,12276,14415,13101,12246,11485,9733,6056,111761
3,3822,2880,3680,4449,7151,7779,8907,8482,8216,8017,6688,4090,74161
4,4577,4135,5134,6169,8046,8165,9940,9537,9165,9524,7750,5423,87565
5,14720,14662,16660,18982,23817,24993,28232,27133,27935,29138,21672,16677,264621
6,40516,41710,45187,55446,71518,73847,80377,77076,83794,85201,64077,44200,762949
7,85146,88382,100676,113672,155739,145044,149223,144778,189969,195194,141030,96607,1605460
8,130756,135669,157570,174172,231138,223798,231028,227482,280247,300793,204293,144278,2441224
9,93338,95791,113257,131471,170504,171768,187365,182644,200339,218392,149933,109260,1824062
10,63704,65187,79735,95858,127667,131423,141500,136628,144861,155676,111076,81240,1334555
11,62245,64083,80343,97697,134979,137796,146396,138598,145097,155074,114318,83798,1360424
12,70971,73946,89995,109649,155337,152071,164670,154482,164181,177202,132314,88729,1533547
13,76016,80372,95047,117214,165293,158156,171777,165207,178626,188467,141230,91911,1629316
14,87712,91484,112439,137018,190146,173155,182122,174914,199072,214570,159776,102456,1824864
15,100204,106846,128082,152287,218274,194560,203376,194703,227230,246558,183164,117949,2073233
16,114814,122728,145333,174434,250069,229200,248429,238728,268841,292252,201055,131271,2417154
17,142551,158656,192148,237896,333860,319594,352836,329919,373076,395727,245683,158173,3240119
18,129854,139863,176772,228317,316095,306025,344043,300863,356147,359660,220789,140250,3018678
19,92597,98148,121479,161189,232896,238101,271192,237125,263340,249808,162767,103221,2231863
20,63549,68579,84035,106215,166667,183001,207125,171787,180721,179603,116791,71327,1599400
21,48368,52170,62816,79882,117275,134139,151785,125380,134449,138158,90584,54694,1189700
22,35985,40664,50490,63932,96606,110950,119186,104359,111038,112420,72637,44521,962788
23,23728,27548,35083,42783,69697,82198,82962,77328,80127,81592,53378,33478,689902
