time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,2739,2873,5389,4987,6499,11860,9211,9945,11072,8067,4843,3996,81481
1,1696,1897,3485,3244,3653,7662,6138,6897,7167,5575,2999,2467,52880
2,985,1114,2021,2108,2202,5070,4044,4673,4788,3469,1944,1661,34079
3,688,620,1378,1408,1446,3022,2534,2941,3203,2334,1285,1155,22014
4,477,509,793,895,1010,2051,1607,1920,2066,1460,888,813,14489
5,465,494,845,779,1094,1883,1512,1623,1648,1251,943,630,13167
6,1217,1208,1874,2096,2533,4377,3442,4085,3929,2777,2067,1378,30983
7,2804,2849,4460,4939,5142,9715,7409,9145,8831,6321,5172,3565,70352
8,5456,5943,9303,10087,10080,18070,13356,17288,17925,12683,10323,6998,137512
9,9141,9775,15681,17295,16255,29025,20780,28537,29322,21039,16880,12068,225798
10,12644,13399,21705,24860,23052,40611,28231,39335,40605,27945,22616,16756,311759
11,14703,16286,25317,30780,27428,49630,32671,47850,49435,34290,26802,19745,374937
12,16947,18341,29552,36881,30632,56109,35298,52592,55843,37912,30671,21652,422430
13,18198,19191,32572,40137,34250,57781,36737,51426,58469,37412,30726,20540,437439
14,17802,19295,33016,41413,35759,58023,37217,51401,58653,37802,30578,20567,441526
15,17050,19316,33864,41012,37341,57505,37219,52142,58814,39164,30172,20488,444087
16,15892,18540,32989,40340,36686,57899,37487,51799,58549,40073,29028,18194,437476
17,13216,16624,30317,37440,34240,52971,37652,49402,57525,37481,24393,14583,405844
18,11479,13373,25880,33756,28049,49408,37084,44583,52740,30583,20501,12932,360368
19,9169,10443,18996,26214,23874,43682,33098,39228,40370,22142,16586,10870,294672
20,6707,7112,13215,17450,17009,33847,27118,28550,27337,16350,12578,8477,215750
21,4970,5241,9694,11911,10774,23185,20219,20979,21789,13120,9544,6835,158261
22,3908,4916,7279,10025,9112,17421,15369,16876,17390,10775,7480,5554,126105
23,2729,3424,5513,7426,7094,12842,10422,11919,12890,8266,5674,4263,92462
