time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,888,656,875,2256,3574,3550,4263,5375,4848,4093,3991,2987,37356
1,607,403,594,1457,2697,2267,2801,3682,3177,2678,3091,2099,25553
2,392,264,390,1007,1534,1512,1839,2450,2278,1828,1767,1342,16603
3,277,183,289,612,973,1000,1260,1591,1418,1103,1118,890,10714
4,205,140,194,392,698,654,802,1046,896,700,638,529,6894
5,198,137,164,257,563,447,597,733,607,532,552,350,5137
6,347,279,307,738,1202,1045,1151,1747,1373,1175,1229,782,11375
7,640,518,566,1636,2897,2284,2558,3997,3384,2936,2842,2095,26353
8,1412,1236,1302,3431,5867,4568,4702,7991,7013,6001,6327,4287,54137
9,2447,1984,2174,6254,10187,7991,7972,14257,12058,10870,10802,7718,94714
10,3529,2831,3261,8948,15014,10745,11625,20227,17313,15311,15123,10876,134803
11,4263,3197,4088,11617,18776,13979,15181,25540,21906,19893,18646,13927,171013
12,4525,3536,4736,13420,21703,14948,17335,27879,24869,22700,21323,16094,193068
13,4736,3753,5015,14334,23252,16860,17911,26962,25937,24416,21951,16860,201987
14,4558,3395,5028,14641,22969,17537,17910,27148,26381,24783,21036,16441,201827
15,4748,3460,5192,14639,23120,17393,18893,27383,25891,24947,21347,16422,203435
16,4705,3362,5092,14125,22645,16844,18855,27185,25656,25275,19914,15053,198711
17,3932,3082,4873,13149,20586,16153,18656,26605,24552,23379,15928,12019,182914
18,3472,2503,4546,11659,18561,14226,17872,25269,21808,19052,13455,9865,162288
19,2765,1881,3479,9048,15337,12386,15246,21727,16565,14005,10762,8260,131461
20,1934,1266,2320,5775,9868,9517,11625,15395,10881,9585,8080,6148,92394
21,1474,986,1737,4039,7096,6329,8618,11547,8693,7621,6398,4864,69402
22,1452,1037,1501,3175,5655,4821,7275,8841,7137,5996,5252,4183,56325
23,1064,748,1335,2467,4210,3797,5018,6470,5336,4756,3905,3067,42173
