,longitude,latitude,usage
W 21 St & 6 Ave,-73.99415556,40.74173969,327581
8 Ave & W 31 St,-73.9946848154068,40.7505853470215,282696
University Pl & E 14 St,-73.992085,40.734814,282639
West St & Chambers St,-74.01322069,40.71754834,273373
Broadway & W 58 St,-73.98169333,40.76695317,270804
Lafayette St & E 8 St,-73.99102628231049,40.73020660529954,269577
W 31 St & 7 Ave,-73.9916,40.749156,256788
Broadway & E 14 St,-73.99074142,40.73454567,255230
11 Ave & W 41 St,-73.99884222,40.76030096,255128
Broadway & W 25 St,-73.98918628692627,40.74286877312112,242500
9 Ave & W 33 St,-73.996765,40.752568,232722
E 33 St & 1 Ave,-73.97449783980846,40.74322681432173,230209
W 30 St & 10 Ave,-74.002353,40.752694,225855
Broadway & E 21 St,-73.98958593606949,40.73988840858996,225762
6 Ave & W 33 St,-73.98848395,40.74901271,223952
W 41 St & 8 Ave,-73.9900262,40.75640548,216470
Cleveland Pl & Spring St,-73.99724900722504,40.722103786686034,216254
Ave A & E 14 St,-73.98047178983688,40.73031071000895,215010
Metropolitan Ave & Bedford Ave,-73.96024116,40.71534825,212914
Greenwich Ave & 8 Ave,-74.0026376103,40.7390169121,212507
12 Ave & W 40 St,-74.00277668,40.76087502,212325
E 40 St & Park Ave,-73.978326,40.750756,211758
West St & Liberty St,-74.014847,40.711444,210198
7 Ave & Central Park South,-73.9790689945221,40.7667405590595,206088
Pier 61 at Chelsea Piers,-74.00821,40.746872,205410
Central Park S & 6 Ave,-73.97634151,40.76590936,205304
W 43 St & 10 Ave,-73.99461843,40.76009437,201157
W 24 St & 7 Ave,-73.99529885,40.74487634,199337
Canal St & Rutgers St,-73.98990025,40.71427487,195827
8 Ave & W 16 St,-74.001702,40.740983,194377
Broadway & W 29 St,-73.98855723,40.7462009,191014
Norfolk St & Broome St,-73.98802084,40.7172274,190601
Clinton St & Grand St,-73.9870295,40.71559509,190514
8 Ave & W 38 St,-73.99177,40.75461,190288
West End Ave & W 60 St,-73.99005,40.77237,188738
Columbus Ave & W 72 St,-73.97898475,40.7770575,188560
Carmine St & 6 Ave,-74.00214988,40.73038599,188440
W 22 St & 10 Ave,-74.00451887,40.74691959,186527
Christopher St & Greenwich St,-74.00711384,40.73291553,186327
Amsterdam Ave & W 73 St,-73.98093044757842,40.77966809007312,185846
10 Ave & W 14 St,-74.00831580162048,40.74198159994023,185328
Washington St & Gansevoort St,-74.008119,40.739323,182264
Vesey Pl & River Terrace,-74.01658354,40.7153379,180619
W 34 St & Hudson Blvd E,-74.00059908628464,40.75516719072139,180400
Lafayette St & Jersey St,-73.99565293,40.72456089,178019
6 Ave & W 34 St,-73.98805,40.74964,175648
E 43 St & Madison Ave,-73.97896572947502,40.75354681867074,175443
2 Ave & E 29 St,-73.97809267044067,40.74172351097472,172819
Grand St & Elizabeth St,-73.99596,40.718822,171742
W 27 St & 7 Ave,-73.99392,40.74665,171650
E 72 St & York Ave,-73.95348296,40.76663814,171595
W 54 St & 11 Ave,-73.992573,40.768333,170709
9 Ave & W 22 St,-74.00197139,40.7454973,170488
N 7 St & Driggs Ave,-73.956388,40.716967,170004
E 1 St & 1 Ave,-73.98864984512329,40.72335597960796,169776
E 16 St & 5 Ave,-73.99238967,40.73726186,168838
W 4 St & 7 Ave S,-74.00293877,40.73401143,168769
8 Ave & W 49 St,-73.98655101656914,40.76171227910671,168097
W 15 St & 6 Ave,-73.99642959237099,40.738046142482766,167890
1 Ave & E 68 St,-73.95818491,40.76500525,167495
E 85 St & 3 Ave,-73.95407149,40.77801203,167378
Bleecker St & Crosby St,-73.99510189890862,40.72615604980408,166280
Central Park West & W 68 St,-73.97782542,40.7734066,164199
Cooper Square & Astor Pl,-73.99075269699097,40.72951496224949,162630
11 Ave & W 27 St,-74.005226,40.751396,162154
