time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,1706,1091,1841,3172,5134,5950,6218,6038,5766,4725,3015,2723,47379
1,959,454,895,1559,2622,2685,3102,2891,2728,2447,1438,1415,23195
2,597,288,486,842,1269,1376,1657,1553,1577,1338,759,774,12516
3,379,151,278,439,706,779,1066,945,904,710,464,525,7346
4,444,241,494,696,873,935,1198,1077,1152,970,691,666,9437
5,1691,1048,2030,2902,3512,3931,4870,4193,4529,3965,2562,2418,37651
6,6885,3887,8137,12114,15041,16406,20640,17800,19350,17025,11248,9725,158258
7,13501,7967,16042,26010,31614,33302,40231,34858,39302,35709,22702,19064,320302
8,24232,14963,31689,49553,57700,56479,68793,60843,63539,62106,39421,32540,561858
9,18646,11509,24608,37018,43662,41942,53354,47316,48283,47614,30069,25399,429420
10,9674,6148,12758,19967,25112,24024,29556,26767,28435,26574,16634,14447,240096
11,9002,5164,10996,18546,24734,24880,28491,26933,28275,25556,15495,13730,231802
12,11088,6494,13860,22798,30708,30152,34046,32216,34366,30885,18413,15800,280826
13,11538,7159,14282,24450,32719,31537,35981,34566,35944,32820,19077,16197,296270
14,12272,7586,15472,24741,33138,34021,34952,34428,37381,34949,20213,17631,306784
15,13260,8039,16931,26198,35982,36668,38670,36866,39119,38135,21916,19195,330979
16,16574,10585,21167,33706,44573,46243,49091,46808,50590,47973,27082,22731,417123
17,25711,16725,35706,52995,69055,72312,77531,71816,78599,71611,39589,29779,641429
18,25373,16080,35410,52029,66320,67683,77621,72828,77699,66133,37929,27347,622452
19,16782,11341,23182,33489,45618,49333,54414,51361,52650,42615,25276,18348,424409
20,10743,7357,14265,20239,28032,35530,36283,34160,34030,27975,16736,12222,277572
21,7505,5153,9497,13509,19266,24292,24592,23177,23808,19750,11654,9012,191215
22,5498,3717,6813,9697,14495,18055,19284,17657,17370,14804,9007,6939,143336
23,3376,2388,4358,6069,9779,12669,13109,11849,11651,9615,5799,4917,95579
