time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,6338,7026,10985,12481,23033,30231,32911,33348,27589,19225,16524,12666,232357
1,3329,3427,5441,6502,12035,15786,17723,18178,14647,10039,8863,6816,122786
2,1952,2247,3471,3781,7147,9212,10522,10944,8757,5881,5622,4234,73770
3,1344,1640,2330,2531,4483,5773,6490,6664,5698,3841,3769,2860,47423
4,1833,2168,3225,3533,4944,5953,6806,6943,6097,4607,4727,3417,54253
5,7147,7760,10935,10976,14222,17877,19138,21152,19235,15307,15190,11463,170402
6,20319,23945,35356,35007,44267,54052,53957,61291,59014,45674,44169,31005,508056
7,40534,48792,76402,76017,95192,105422,96618,108809,123213,104476,97329,67372,1040176
8,57263,70688,112759,114415,139735,156392,144865,167226,172930,149217,140988,96167,1522645
9,41225,50946,79552,85758,103679,122446,118698,137184,132621,109858,103946,72970,1158883
10,32491,38096,57470,66402,84298,98354,94216,106381,104426,83963,79498,56543,902138
11,33878,39444,60205,71870,90568,106543,99167,108352,106160,87294,79765,59082,942328
12,40718,46384,69736,81063,104510,121273,112248,121981,121034,99450,88774,65370,1072541
13,45729,50582,75441,87977,112492,130440,113387,129103,130604,106017,96263,69926,1147961
14,53244,56088,86115,98980,127974,142708,122155,136697,144694,122316,107918,77643,1276532
15,60076,62537,97317,111002,145370,155078,130509,152953,166209,142639,122497,86584,1432771
16,66117,70473,110937,127850,162306,179823,157848,186819,193596,163871,138199,94215,1652054
17,74970,87250,146355,167708,201062,228782,212898,256623,248247,204948,163407,105437,2097687
18,70013,78277,137928,156650,195819,230127,217157,262809,246507,183094,147628,95543,2021552
19,51152,55777,94749,106022,147945,178068,175467,210355,180278,126774,104672,68264,1499523
20,33062,37729,59659,67864,100798,130363,132148,147939,121879,85449,73797,48704,1039391
21,22322,26192,43733,49385,72730,94278,96443,107903,91391,65523,56558,36502,762960
22,17570,20411,34547,38930,59653,78135,83385,86413,74871,53906,46151,31176,625148
23,11511,14232,23915,28120,41528,58700,60697,62387,55321,39405,32915,24101,452832
