time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,5577,4818,4331,2526,5422,9684,16841,15464,14667,14508,9680,6073,109591
1,3096,2305,2089,1307,2823,5364,9152,8420,7567,7324,5019,3240,57706
2,2013,1385,1202,818,1778,3239,5122,5005,4323,3989,2809,2022,33705
3,1332,984,918,588,1271,2000,3101,2907,2694,2454,1922,1473,21644
4,1935,1673,1480,683,1358,2091,3287,2955,3004,3212,2663,1898,26239
5,8720,7806,6003,2165,4014,7616,10370,9474,10386,10129,8281,6702,91666
6,27868,24063,19998,9009,15548,26972,33588,30825,36465,34747,27225,20311,306619
7,59914,51125,41635,15230,26205,45575,57465,55770,71697,67579,51845,37039,581079
8,106723,91768,69779,17275,31705,59391,79324,79124,97400,94915,71933,51029,850366
9,71383,63360,47889,15050,30078,55359,71390,67079,80962,72895,60052,45438,680935
10,38201,35228,30822,15814,32587,52825,62346,59043,72466,58347,53806,41293,552778
11,37558,33067,32547,19688,40410,59062,67068,64818,80306,61283,59281,46123,601211
12,43946,37079,40242,24952,50067,70835,76448,77665,94097,73915,71799,53788,714833
13,46088,38593,43528,28340,56510,74778,80624,83304,102411,83990,78251,59873,776290
14,49311,40176,45616,31243,64043,80067,84130,89075,111272,95782,84751,64796,840262
15,53926,44888,49102,35306,71636,91621,93872,98884,124562,108536,94136,69051,935520
16,66817,56514,61776,41538,81076,109576,106133,115121,143120,125778,101787,70120,1079356
17,102574,89919,89478,49533,92686,138556,140293,154181,189175,162337,102793,68527,1380052
18,95389,83957,85684,49021,93356,126500,151828,167238,193585,156628,90730,60312,1354228
19,62806,56547,54411,35210,73851,105993,129717,135565,133551,106591,68059,44599,1006900
20,40242,37277,31274,17427,41602,75856,95408,85258,78767,67357,45180,28993,644641
21,26926,25217,20221,9109,21866,46957,61574,54303,52920,45702,31617,19141,415553
22,19029,17427,13114,6633,14315,29789,44684,43477,42597,36536,26636,15773,310010
23,11528,10193,8609,4543,9752,18646,32130,32796,32270,28740,18643,10006,217856
