time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,2476,2329,1683,4924,4263,6802,6856,5895,7035,7846,3700,3247,57056
1,1749,1617,1105,3195,2602,4094,4626,4563,4666,5418,2609,2120,38364
2,1186,929,591,2075,1686,2607,3180,2568,2906,3433,1446,1359,23966
3,838,624,435,1161,1160,1710,2043,1598,1784,2063,955,853,15224
4,508,356,257,697,704,1034,1299,1122,1204,1233,544,553,9511
5,436,319,258,558,732,913,1231,886,1002,981,619,451,8386
6,1003,890,761,1704,1745,2008,3070,2233,2809,2525,1532,1244,21524
7,2342,2198,1777,4539,3939,4373,6170,5467,6173,5918,4105,3012,50013
8,4470,4751,3517,9917,8184,9009,12133,10986,12413,12150,8344,5940,101814
9,7408,7935,5908,16862,14038,16379,20738,19227,20011,19241,13976,9231,170954
10,9906,10486,7984,24744,19944,23579,28584,27783,27825,27837,18641,11886,239199
11,11815,13241,9742,31532,24786,29008,35524,34534,34063,32572,22248,13565,292630
12,13234,15707,11052,35760,27618,29317,39165,37469,38997,38398,24102,14822,325641
13,13880,16868,11302,38175,28419,30147,40640,36708,40985,40183,24371,15480,337158
14,13900,17600,11044,38047,28302,30807,41729,37009,40881,41701,22570,15257,338847
15,13032,17931,10837,38162,27324,31290,42234,38219,42011,42510,22502,15440,341492
16,11135,17265,9988,36133,26228,31802,43226,37566,42241,42130,21290,14773,333777
17,9590,14629,9566,34040,24522,32159,41908,36308,38929,39756,17793,12312,311512
18,8240,9966,8446,30028,23488,29639,39336,34212,36545,33529,15012,10316,278757
19,6627,6989,6320,23484,18599,25493,32286,28922,27608,24755,12362,8565,222010
20,5219,5283,4248,15797,12418,19786,26163,20265,18238,17517,9526,6612,161072
21,4134,4295,3173,11279,8784,14483,17548,14073,13694,13506,7409,5309,117687
22,3358,4197,2491,8969,6871,11429,13832,10916,10683,11059,5990,4357,94152
23,2530,3209,1902,6682,4982,8228,8959,7567,8231,8138,4387,3378,68193
