time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,3071,3453,3646,5141,7701,10343,10339,10275,9880,9209,6808,4929,84795
1,1643,1545,1592,2208,3730,4669,4957,4954,4651,4234,3215,2315,39713
2,829,895,768,1248,1922,2380,2443,2413,2362,2065,1621,1283,20229
3,521,401,434,652,1042,1343,1381,1473,1365,1336,1009,775,11732
4,922,755,777,1064,1526,1850,1843,2035,2009,1862,1568,1285,17496
5,5376,4702,4407,5799,8380,9410,9196,10329,9805,9720,8087,5893,91104
6,18488,17052,17093,21900,30109,35907,32552,39563,37062,36851,29409,20330,336316
7,39247,36831,35975,44561,65874,72569,63275,73493,81725,80618,63767,43071,701006
8,68987,65250,64126,82851,115266,122374,104359,125353,134308,141964,110454,76574,1211866
9,45188,45499,43793,62302,79652,89895,75973,92121,92500,100002,78329,56191,861445
10,24086,24740,22618,35864,45128,52552,43388,53532,56558,57553,45831,31468,493318
11,21393,22615,19590,34627,43838,51717,44206,52354,55897,55052,43168,29678,474135
12,24599,26783,23694,40980,51196,60057,53512,60967,66111,64283,51305,34427,557914
13,26057,28876,25737,43885,54667,62077,58978,61696,68183,66181,53708,35953,585998
14,28258,31013,28891,47045,57717,65918,59342,62422,70523,70573,56963,37577,616242
15,29373,33341,31453,49671,63954,71514,64694,67650,73218,76829,59822,40004,661523
16,35968,41298,41037,62590,80525,90210,81478,87154,91544,98359,70886,48281,829330
17,56269,64587,68375,99137,131214,140019,128026,140778,146634,155647,104014,67857,1302557
18,54496,59833,65161,97544,129803,134816,128646,143021,147398,143822,99567,63066,1267173
19,36202,39415,40756,62838,88550,93597,92852,101608,93421,91702,64529,40365,845835
20,23464,25887,25636,38315,57545,63852,64103,66752,59633,60630,43617,26356,555790
21,15566,17621,17684,26133,38481,43930,42618,45878,42134,43710,30912,18517,383184
22,10989,12507,12590,18982,27416,33263,33896,33499,30375,31254,22223,14245,281239
23,6668,7134,7445,11603,16694,21236,21062,21082,19868,19737,13804,9445,175778
