,longitude,latitude,usage
Pershing Square North,-73.977706,40.751873,323103
E 17 St & Broadway,-73.99009296,40.73704984,229536
Broadway & E 22 St,-73.98955109,40.7403432,225099
West St & Chambers St,-74.01322069,40.71754834,220121
W 21 St & 6 Ave,-73.99415556,40.74173969,215590
8 Ave & W 31 St,-73.9946848154068,40.7505853470215,195863
W 20 St & 11 Ave,-74.007756,40.746745,186841
8 Ave & W 33 St,-73.993934,40.751551,185446
12 Ave & W 40 St,-74.00277668,40.76087502,176747
W 38 St & 8 Ave,-73.99138152,40.75466591,167909
W 41 St & 8 Ave,-73.9900262,40.75640548,166927
Carmine St & 6 Ave,-74.00214988,40.73038599,165582
Broadway & E 14 St,-73.99074142,40.73454567,164107
University Pl & E 14 St,-73.99200509,40.73492695,158726
Lafayette St & E 8 St,-73.99102628231049,40.73020660529954,157192
Greenwich Ave & 8 Ave,-74.0026376103,40.7390169121,156595
Central Park S & 6 Ave,-73.97634151,40.76590936,156417
Cleveland Pl & Spring St,-73.99724900722504,40.722103786686034,152312
Christopher St & Greenwich St,-74.00711384,40.73291553,152037
W 18 St & 6 Ave,-73.99456405,40.73971301,151420
Great Jones St,-73.99379025,40.72743423,150282
South End Ave & Liberty St,-74.015756,40.711512,149399
W 33 St & 7 Ave,-73.99093085,40.75019995,148022
W 31 St & 7 Ave,-73.9916,40.749156,145966
E 7 St & Avenue A,-73.98379855,40.72621788,144907
Centre St & Chambers St,-74.0046073,40.71273266,140950
6 Ave & W 33 St,-73.98848395,40.74901271,140895
Broadway & W 60 St,-73.98191841,40.76915505,139280
E 47 St & Park Ave,-73.97498696,40.75510267,133625
1 Ave & E 16 St,-73.98165557,40.73221853,133472
W 24 St & 7 Ave,-73.99529885,40.74487634,130704
Broadway & W 58 St,-73.98169333,40.76695317,130632
Lafayette St & Jersey St,-73.99600982666016,40.72430527250332,129984
9 Ave & W 22 St,-74.00197139,40.7454973,128943
W 27 St & 7 Ave,-73.993915,40.746647,127949
MacDougal St & Prince St,-74.00297088,40.72710258,126851
Vesey Pl & River Terrace,-74.01658354,40.7153379,126849
Grand St & Elizabeth St,-73.99596,40.718822,126716
Lexington Ave & E 24 St,-73.98409214,40.74025878,124893
Broadway & W 41 St,-73.98658032,40.75513557,123462
E 33 St & 2 Ave,-73.976056,40.744023,122053
E 15 St & 3 Ave,-73.986923,40.734232,121715
E 24 St & Park Ave S,-73.98602213,40.74096374,120154
E 16 St & 5 Ave,-73.99238967,40.73726186,119807
W 13 St & Hudson St,-74.00513872504234,40.73997354103409,119184
9 Ave & W 45 St,-73.9912551,40.76019252,119026
W 52 St & 6 Ave,-73.97982001304626,40.76132983124814,117725
Barrow St & Hudson St,-74.00674436,40.73172428,117198
LaGuardia Pl & W 3 St,-73.99810231,40.72917025,115773
E 32 St & Park Ave,-73.98194829,40.7457121,115483
Cooper Square & E 7 St,-73.99086803197861,40.72923649910006,114582
Broadway & W 29 St,-73.98855723,40.7462009,113756
Broadway & W 49 St,-73.9845272898674,40.76068327096592,113514
E 12 St & 3 Ave,-73.98889957,40.73223272,112314
W 25 St & 6 Ave,-73.99144871,40.74395411,111920
E 11 St & 2 Ave,-73.98672378,40.73047309,111339
W 49 St & 8 Ave,-73.98788205,40.76227205,111322
W 15 St & 7 Ave,-73.99931783,40.73935542,110366
11 Ave & W 27 St,-74.005226,40.751396,110253
W 4 St & 7 Ave S,-74.00293877,40.73401143,109234
E 10 St & Avenue A,-73.98142006,40.72740794,109137
Pier 40 - Hudson River Park,-74.01129573583603,40.7277140777778,108418
E 39 St & 2 Ave,-73.9734419,40.74780373,108277
W 22 St & 10 Ave,-74.00451887,40.74691959,107819
W 22 St & 8 Ave,-73.99915362,40.74475148,106701
E 13 St & Avenue A,-73.98057249,40.72955361,106701
E 25 St & 2 Ave,-73.97973776,40.73912601,106385
Broadway & W 32 St,-73.98808416,40.74854862,106148
Little West St & 1 Pl,-74.01677685,40.70569254,105999
W 20 St & 7 Ave,-73.99726235,40.74238787,105666
8 Ave & W 16 St,-74.001702,40.740983,105042
E 20 St & 2 Ave,-73.98205027,40.73587678,104502
Greenwich St & W Houston St,-74.008591,40.728846,104437
Broadway & Battery Pl,-74.01361706,40.70463334,104306
E 23 St & 1 Ave,-73.97809472,40.736502,103962
W 16 St & The High Line,-74.00681753,40.74334935,103900
E 20 St & Park Ave,-73.98751968,40.73827428,103241
Pershing Square South,-73.97791,40.751581,102057
W 26 St & 8 Ave,-73.99723551,40.74734825,101153
Mercer St & Bleecker St,-73.99662137031554,40.72706363348306,100627
Mott St & Prince St,-73.99480012,40.72317958,100581
W 45 St & 8 Ave,-73.98859651,40.75929124,100360
Allen St & Rivington St,-73.98997825,40.72019576,100208
St Marks Pl & 2 Ave,-73.98713956,40.7284186,100049
Allen St & Stanton St,-73.989111,40.722055,100032
Broadway & W 24 St,-73.98915076,40.7423543,99951
W 13 St & 6 Ave,-73.99704374,40.73649403,98609
5 Ave & E 29 St,-73.98683077,40.7451677,98329
W 43 St & 6 Ave,-73.98316936,40.75527307,97321
W 27 St & 10 Ave,-74.00218427181244,40.75018156325683,97295
Barclay St & Church St,-74.01020234,40.71291224,97127
Greenwich Ave & Charles St,-74.000271,40.735238,96938
E 33 St & 5 Ave,-73.98490707,40.74765947,96672
E 48 St & 5 Ave,-73.97805914282799,40.75724567911726,96387
1 Ave & E 18 St,-73.98054420948029,40.73381219196632,96263
Forsyth St & Broome St,-73.99266288,40.71893904,96188
Sullivan St & Washington Sq,-73.99906065,40.73047747,96164
Washington St & Gansevoort St,-74.008119,40.739323,96162
W 52 St & 5 Ave,-73.97648516,40.75992262,95650
Lexington Ave & E 29 St,-73.98215353488922,40.74311555376486,95000
11 Ave & W 41 St,-73.99884222,40.76030096,94644
Suffolk St & Stanton St,-73.98517977,40.72066442,94548
11 Ave & W 59 St,-73.990541,40.771522,93312
W 42 St & 8 Ave,-73.99098507,40.7575699,92205
W 44 St & 5 Ave,-73.98014437,40.75500254,91824
E 20 St & FDR Drive,-73.97573881,40.73314259,91590
E 4 St & 2 Ave,-73.98978041,40.7262807,91323
E 2 St & Avenue B,-73.98368779,40.72217444,91296
E 31 St & 3 Ave,-73.97966069,40.74394314,91207
E 11 St & 1 Ave,-73.98426726,40.72953837,90265
1 Ave & E 30 St,-73.97536082,40.74144387,90062
Stanton St & Chrystie St,-73.99147535,40.72229346,89012
E 30 St & Park Ave S,-73.98303529,40.74444921,87592
University Pl & E 8 St,-73.99490341544151,40.73143724085228,86737
W 20 St & 8 Ave,-74.00004031,40.74345335,86636
W 63 St & Broadway,-73.98261428,40.77163851,86188
W 42 St & Dyer Ave,-73.99379968643188,40.75898481399634,86078
9 Ave & W 18 St,-74.00366443,40.74317449,86043
8 Ave & W 52 St,-73.9851615,40.76370739,85700
6 Ave & Canal St,-74.00566443,40.72243797,85269
St Marks Pl & 1 Ave,-73.98564945,40.72779126,85167
E 39 St & 3 Ave,-73.97604882,40.7489006,84653
Canal St & Rutgers St,-73.98990025,40.71427487,84485
FDR Drive & E 35 St,-73.97121214,40.744219,84392
Allen St & Hester St,-73.99190759,40.71605866,83682
E 3 St & 1 Ave,-73.98783413,40.72467721,83674
W 37 St & 10 Ave,-73.9979009,40.75660359,82586
2 Ave & E 31 St,-73.97706058,40.74290902,82538
South St & Gouverneur Ln,-74.00670227,40.70355377,82442
Washington Pl & Broadway,-73.99404649,40.72903917,82426
Broadway & W 56 St,-73.98192338,40.7652654,81453
Liberty St & Broadway,-74.01043382,40.70905623,79899
W 13 St & 5 Ave,-73.99453948,40.73543934,79761
W 47 St & 10 Ave,-73.99301222,40.76269882,79371
Bank St & Hudson St,-74.00618026,40.73652889,79194
Broadway & W 36 St,-73.98765428,40.75097711,79009
Howard St & Centre St,-73.99973337,40.71910537,78865
W 26 St & 10 Ave,-74.002950346,40.749717753,77445
Forsyth St & Canal St,-73.99422366,40.7158155,77393
West Thames St,-74.01713445,40.70834698,77107
