,longitude,latitude,usage
E 20 St & Park Ave,-73.98751968,40.73827428,86509
E 39 St & 3 Ave,-73.97604882,40.7489006,86303
W 43 St & 10 Ave,-73.99461843,40.76009437,86102
Fulton St & Broadway,-74.009447,40.711066,85776
1 Ave & E 30 St,-73.97536082,40.74144387,85308
E 2 St & Avenue B,-73.98368779,40.72217444,85262
6 Ave & Canal St,-74.00566443,40.72243797,85194
Forsyth St & Canal St,-73.99422366,40.7158155,84899
E 41 St & Madison Ave,-73.97992193698882,40.752165280621966,83494
E 33 St & 5 Ave,-73.98490707,40.74765947,83286
W 42 St & Dyer Ave,-73.99379968643188,40.75898481399634,83088
Howard St & Centre St,-73.99973337,40.71910537,82680
North Moore St & Greenwich St,-74.0103006362915,40.72019521437465,82572
W 47 St & 10 Ave,-73.99301222,40.76269882,82033
W 26 St & 10 Ave,-74.002950346,40.749717753,81536
Washington Pl & Broadway,-73.99404649,40.72903917,81474
Gansevoort St & Hudson St,-74.00507032871246,40.73944820130404,80907
E 30 St & Park Ave S,-73.98303529,40.74444921,80602
W 52 St & 5 Ave,-73.97648516,40.75992262,80414
Liberty St & Broadway,-74.01043382,40.70905623,80016
W 13 St & 7 Ave,-73.99994661,40.73781509,79787
6 Ave & Spring St,-74.00412082672119,40.7252556952547,79159
5 Ave & E 29 St,-73.98683077,40.7451677,79001
Broadway & W 36 St,-73.98765428,40.75097711,78867
W 15 St & 10 Ave,-74.00747358798981,40.74275382865903,78847
E 2 St & Avenue A,-73.98583620786667,40.72307749068673,78382
W 34 St & 11 Ave,-74.0021163,40.75594159,77947
West Thames St,-74.01713445,40.70834698,77647
E 6 St & Avenue B,-73.98185424,40.72453734,77606
W 55 St & 6 Ave,-73.9783501625061,40.76309387270797,77353
W 46 St & 11 Ave,-73.99667444,40.76341379,77222
W 52 St & 11 Ave,-73.99392888,40.76727216,76997
W 53 St & 10 Ave,-73.99061728,40.76669671,76696
Broadway & W 53 St,-73.98268129,40.76344058,75895
Broadway & W 38 St,-73.98721619,40.75299641,75364
E 16 St & Irving Pl,-73.98797392845154,40.735367055605394,75304
E 9 St & Avenue C,-73.97768752,40.72521311,75137
E 25 St & 1 Ave,-73.97738662,40.7381765,74343
W Broadway & Spring Street,-74.00165855884552,40.72494672359416,74085
Bank St & Hudson St,-74.00618026,40.73652889,73613
E 19 St & 3 Ave,-73.98473765,40.73624527,73137
Mercer St & Spring St,-73.99949601,40.72362738,73072
Watts St & Greenwich St,-74.00965965,40.72405549,72958
E 53 St & Madison Ave,-73.97402311,40.7597108,72698
Broadway & W 51 St,-73.98336183,40.76228826,72417
LaGuardia Pl & W 3 St,-73.99810231,40.72917025,70396
E 27 St & 1 Ave,-73.976806,40.739445,70370
Murray St & Greenwich St,-74.01122331619263,40.71485150526252,70346
E 12 St & Avenue B,-73.97881150245667,40.728048571362606,70320
MacDougal St & Washington Sq,-73.99852205,40.73226398,70168
Bayard St & Baxter St,-73.99974372,40.71602118,69103
Grand St & Greene St,-74.00234737,40.72165481,68924
W 11 St & 6 Ave,-73.99800419,40.73532427,68025
Division St & Bowery,-73.9970468,40.71413089,67844
W 17 St & 9 Ave,-74.00413691997528,40.74294891660091,67586
W 13 St & 6 Ave,-73.99704374,40.73649403,67329
W 20 St & 8 Ave,-74.00004031,40.74345335,67040
Lispenard St & Broadway,-74.00247214,40.71939226,66851
Clinton St & Grand St,-73.9870295,40.71559509,66734
E 4 St & 2 Ave,-73.98978041,40.7262807,66663
Peck Slip & Front St,-74.00167,40.707873,66350
W 37 St & 5 Ave,-73.98338988,40.75038009,65791
W 54 St & 9 Ave,-73.98690506,40.76584941,65779
Henry St & Grand St,-73.981346,40.714215,64989
Murray St & West St,-74.013012,40.7149787,64962
Norfolk St & Broome St,-73.98802084,40.7172274,64666
W 44 St & 5 Ave,-73.98014437,40.75500254,62894
Washington Pl & 6 Ave,-74.00026394,40.73224119,62709
E 45 St & 3 Ave,-73.97282625,40.75255434,62627
South St & Whitehall St,-74.01234218,40.70122128,61773
E 52 St & 2 Ave,-73.967416,40.756014,61345
E 33 St & 1 Ave,-73.97449783980846,40.74322681432173,61083
E 53 St & 3 Ave,-73.96930575370789,40.75763227739443,60518
E 35 St & 3 Ave,-73.977885,40.746524,60475
E 47 St & 2 Ave,-73.97032517,40.75323098,59919
1 Ave & E 44 St,-73.96905301,40.75001986,59325
W 56 St & 10 Ave,-73.988639,40.768254,58897
E 2 St & Avenue C,-73.98085795,40.7208736,58434
W 59 St & 10 Ave,-73.988038,40.770513,58404
Hudson St & Reade St,-74.0091059,40.71625008,58353
Rivington St & Chrystie St,-73.9919254,40.72110063,55490
Riverside Blvd & W 67 St,-73.98888587951659,40.777507027547976,54999
Franklin St & W Broadway,-74.00666661,40.71911552,54760
E 43 St & 5 Ave,-73.98025184869766,40.754120810779256,54453
W 18 St & 9 Ave,-74.00367558002472,40.7435337324616,54426
Pike St & E Broadway,-73.99293911,40.71406667,53290
E 10 St & 5 Ave,-73.99510132,40.73331967,53175
Bank St & Washington St,-74.00859207,40.7361967,53146
W 12 St & W 4 St,-74.00398269295692,40.73756121181137,53101
Perry St & Bleecker St,-74.00483091,40.73535398,52755
E 48 St & 3 Ave,-73.971878855,40.7546011026,52518
9 Ave & W 28 St,-73.99923384189606,40.74937024193277,52514
Front St & Maiden Ln,-74.00612572,40.70530954,51856
Reade St & Broadway,-74.00562789,40.71450451,50959
Bus Slip & State St,-74.013942,40.701907,50364
Centre St & Worth St,-74.00234482,40.71494807,49801
E 11 St & Broadway,-73.99158043,40.73261787,49039
Leonard St & Church St,-74.005549,40.717571,48797
W 36 St & 9 Ave,-73.99516761302948,40.75462324029105,48634
Pearl St & Hanover Square,-74.00926027,40.7047177,48363
W 45 St & 6 Ave (OLD),-73.98257732391357,40.75668720603179,47708
E 51 St & Lexington Ave,-73.97207836,40.75714758,47511
Broadway & W 37 St,-73.98753523,40.75172632,47438
St James Pl & Oliver St,-73.99851193,40.71307916,46678
Fulton St & William St,-74.00653609,40.70955958,46584
Catherine St & Monroe St,-73.99682619,40.71117444,46527
Avenue D & E 3 St,-73.97793172,40.72082834,46094
Maiden Ln & Pearl St,-74.00731853,40.70706456,44797
John St & William St,-74.00722156,40.70862144,43770
E 33 St & 2 Ave,-73.976056,40.744023,43759
E 5 St & Avenue C,-73.97995466,40.72299208,43515
E 44 St & 2 Ave,-73.97138714790344,40.75118387463277,43322
E 51 St & 1 Ave,-73.96592976,40.75455731,42899
Duane St & Greenwich St,-74.0104554,40.71748752,42861
William St & Pine St,-74.00887308,40.70717936,42136
Water - Whitehall Plaza,-74.0127234,40.70255065,41086
E 6 St & Avenue D,-73.97668709,40.72228087,40991
Rivington St & Ridge St,-73.98329859,40.71850211,40347
Madison St & Clinton St,-73.98776323,40.71269042,40321
Columbia St & Rivington St,-73.98016555,40.71739973,39736
W 13 St & 5 Ave,-73.99453948,40.73543934,39690
E 55 St & Lexington Ave,-73.97031366,40.75968085,39555
Old Slip & Front St,-74.00838676,40.7037992,37102
Market St & Cherry St,-73.99400398,40.71076228,36303
Cherry St,-73.97948148,40.71219906,35872
Pike St & Monroe St,-73.99193043,40.71173107,35799
E 47 St & 1 Ave,-73.96784384,40.75206862,35685
Bialystoker Pl & Delancey St,-73.98261206,40.71622644,34725
Avenue D & E 8 St,-73.97574813,40.72368361,34310
Harrison St & Hudson St,-74.0090009,40.71870987,33673
Stanton St & Mangin St,-73.97628939,40.71782143,33660
Madison St & Montgomery St,-73.984844,40.713126,33164
Amsterdam Ave & W 66 St,-73.98470567,40.7746671,32974
W 13 St & Hudson St,-74.00513872504234,40.73997354103409,31239
Cliff St & Fulton St_1,-74.00530063,40.70823502,29953
W 64 St & Thelonious Monk Circle,-73.98918695747852,40.77515953434235,28195
Greenwich Ave & 8 Ave,-74.0026376103,40.7390169121,27756
Avenue D & E 12 St,-73.97422494,40.72580614,26248
Gold St & Frankfort St,-74.00354146957397,40.71069994631387,26131
Broad St & Bridge St,-74.01167797,40.70365182,26019
W 64 St & West End Ave,-73.98753759,40.77452835,25348
Laight St & Hudson St,-74.00771779,40.72185379,24169
Cliff St & Fulton St,-74.00504082441329,40.70831794366396,24051
W 45 St & 6 Ave,-73.98291153,40.7568001,23831
St James Pl & Pearl St,-74.00016545,40.71117416,20673
E 5 St & 2 Ave,-73.98919031023979,40.72686951528207,18903
Park Pl & Church St,-74.00935515761375,40.71334184275907,18566
Pitt St & Stanton St,-73.98178024,40.71926081,18428
W 50 St & 9 Ave,-73.98917958140373,40.76360467795863,16844
Soissons Landing,-74.01486575603485,40.69231660719192,15849
Yankee Ferry Terminal,-74.016966,40.686931,15708
Thompson St & Bleecker St,-73.99968780577183,40.72840059450829,15199
W 15 St & 6 Ave,-73.99642959237099,40.738046142482766,14514
Picnic Point,-74.02535319328308,40.68512559515415,12004
E 41 St & 5 Ave,-73.98123621940613,40.75272201381188,11382
10 Hudson Yards,-74.00264,40.752957,9026
Warren St & Church St,-74.00910627,40.71473993,6842
W 35 St & Dyer Ave,-73.99740189313889,40.754691750226016,6616
W 52 St & 9 Ave,-73.98789473,40.76461837,5370
old - E 13 St & Avenue A,-73.98057249,40.72955361,5162
E 11 St & Avenue B,-73.97950418293476,40.72746420692392,3868
W 13 St & 5 Ave -moved to 5947.04,-73.99453948,40.73543934,3279
NYCBS DEPOT - DELANCEY,-73.9823305606842,40.71644423134479,826
NYCBS Depot - STY - Garage 4,-73.9747502,40.7303801,731
Smart Cities Conference,-73.98453533649443,40.71015471094912,169
NYCBS Depot BAL - DYR,-73.99385869503021,40.759030082196055,160
NYCBS Depot - RIS,-73.974724,40.725208,91
Prototype Lab Motivate Headquarters,-74.00849282741547,40.65659567482039,25
E 3 St & 1 Ave,-73.98783413,40.72467721,5
NYCBS Depot - PIT,-73.98383796215057,40.71690978045965,3
Bike Mechanics at Riis Room A,-73.97468617200502,40.72522576938248,2
8 Ave & W 16 St,-74.001702,40.740983,1
