,longitude,latitude,usage
West St & Chambers St,-74.013221,40.717548,201198
1 Ave & E 68 St,-73.958185,40.765005,201048
W 21 St & 6 Ave,-73.994156,40.74174,199536
12 Ave & W 40 St,-74.002777,40.760875,196760
E 17 St & Broadway,-73.990093,40.73705,184013
Broadway & W 60 St,-73.981918,40.769155,182664
Christopher St & Greenwich St,-74.007114,40.732916,172891
E 13 St & Avenue A,-73.98068,40.729667,169307
Pier 40 - Hudson River Park,-74.011296,40.727714,159959
Broadway & E 22 St,-73.989551,40.740343,159164
Broadway & E 14 St,-73.990741,40.734546,149673
Pershing Square North,-73.977706,40.751873,148567
E 33 St & 1 Ave,-73.974498,40.743227,148369
Carmine St & 6 Ave,-74.00215,40.730386,148228
Broadway & W 25 St,-73.989186,40.742869,146460
University Pl & E 14 St,-73.992085,40.734814,144074
Grand St & Elizabeth St,-73.99596,40.718822,143911
Central Park S & 6 Ave,-73.97634151,40.76590936,139755
FDR Drive & E 35 St,-73.971212,40.744219,137506
6 Ave & W 33 St,-73.988484,40.749013,137370
9 Ave & W 22 St,-74.001971,40.745497,134129
Broadway & W 56 St,-73.981923,40.765265,133349
Cleveland Pl & Spring St,-73.997249,40.722104,132144
E 10 St & Avenue A,-73.98142,40.727408,130764
Greenwich Ave & 8 Ave,-74.002638,40.739017,129633
West St & Liberty St,-74.014847,40.711444,127659
8 Ave & W 33 St,-73.993934,40.751551,127479
11 Ave & W 41 St,-73.998842,40.760301,125244
W 24 St & 7 Ave,-73.995299,40.744876,124915
W 22 St & 10 Ave,-74.004519,40.74692,124850
Little West St & 1 Pl,-74.016777,40.705693,124476
Central Park West & W 72 St,-73.976206,40.775794,124453
W 4 St & 7 Ave S,-74.002939,40.734011,124390
S 5 Pl & S 5 St,-73.960876,40.710451,123400
2 Ave & E 31 St,-73.977061,40.742909,122252
8 Ave & W 31 St,-73.994685,40.750585,119667
Lafayette St & E 8 St,-73.991026,40.730207,119234
5 Ave & E 72 St,-73.966853,40.772828,118315
1 Ave & E 16 St,-73.981656,40.732219,117277
8 Ave & W 52 St,-73.985162,40.763707,117055
1 Ave & E 62 St,-73.96094,40.761227,116841
1 Ave & E 78 St,-73.953517,40.771404,116592
W 41 St & 8 Ave,-73.990026,40.756405,116051
Clinton St & Grand St,-73.98703,40.715595,115595
Kent Ave & N 7 St,-73.96165072917938,40.72036775298455,114318
Central Park West & W 68 St,-73.977825,40.773407,113241
Columbus Ave & W 72 St,-73.978985,40.777058,113008
E 31 St & 3 Ave,-73.979661,40.743943,110855
W 15 St & 7 Ave,-73.999318,40.739355,109437
E 7 St & Avenue A,-73.983799,40.726218,109332
Amsterdam Ave & W 73 St,-73.98093,40.779668,108833
Lexington Ave & E 26 St,-73.983293,40.741459,106804
W 22 St & 8 Ave,-73.999154,40.744751,106567
W 43 St & 10 Ave,-73.994618,40.760094,106485
W 33 St & 7 Ave,-73.99093085,40.75019995,106483
Central Park North & Adam Clayton Powell Blvd,-73.955613,40.799484,106242
E 23 St & 1 Ave,-73.978095,40.736502,106120
MacDougal St & Prince St,-74.00297088,40.72710258,105360
6 Ave & W 34 St,-73.98805,40.74964,104861
E 15 St & 3 Ave,-73.986923,40.734232,104603
Mott St & Prince St,-73.99480012,40.72317958,104577
Canal St & Rutgers St,-73.9899,40.714275,104069
E 27 St & 1 Ave,-73.976806,40.739445,103673
9 Ave & W 45 St,-73.991255,40.760193,103291
5 Ave & E 88 St,-73.95939,40.78307,103102
E 11 St & 2 Ave,-73.986724,40.730473,102927
W 26 St & 8 Ave,-73.997236,40.747348,102456
1 Ave & E 18 St,-73.98054420948029,40.73381219196632,102392
Grand Army Plaza & Central Park S,-73.973715,40.764397,102278
7 Ave & Central Park South,-73.979069,40.766741,100618
W 47 St & 10 Ave,-73.993012,40.762699,100515
W 49 St & 8 Ave,-73.987882,40.762272,100426
E 4 St & 2 Ave,-73.98978,40.726281,98311
10 Ave & W 28 St,-74.001768,40.750664,98068
West Drive & Prospect Park West,-73.979453,40.661063,98003
St Marks Pl & 1 Ave,-73.985649,40.727791,97754
St Marks Pl & 2 Ave,-73.98714,40.728419,97395
E 2 St & Avenue B,-73.983688,40.722174,96898
W 53 St & 10 Ave,-73.990617,40.766697,95987
Barrow St & Hudson St,-74.006744,40.731724,95401
Norfolk St & Broome St,-73.988021,40.717227,95018
S 4 St & Wythe Ave,-73.965903,40.712859,94888
Allen St & Stanton St,-73.989111,40.722055,94467
W 31 St & 7 Ave,-73.9916,40.749156,94390
Lafayette St & Jersey St,-73.99565293,40.72456089,94279
W 37 St & 10 Ave,-73.9979009,40.75660359,94193
Cooper Square & Astor Pl,-73.990753,40.729515,93738
E 2 St & Avenue A,-73.985836,40.723077,93593
E 58 St & 3 Ave,-73.967245,40.760958,92929
University Pl & E 8 St,-73.994903,40.731437,92896
E 32 St & Park Ave,-73.981948,40.745712,92790
E 25 St & 2 Ave,-73.979738,40.739126,91703
Allen St & Rivington St,-73.989978,40.720196,91626
W 15 St & 6 Ave,-73.99643,40.738046,91542
W 27 St & 7 Ave,-73.993915,40.746647,91269
6 Ave & Broome St,-74.00473,40.72431,91260
E 16 St & 5 Ave,-73.99239,40.737262,91088
E 85 St & 3 Ave,-73.954071,40.778012,90856
2 Ave & E 72 St,-73.958408,40.768762,90812
E 11 St & 1 Ave,-73.98426726,40.72953837,90342
Forsyth St & Canal St,-73.994224,40.715816,90232
Washington St & Gansevoort St,-74.008119,40.739323,89992
E 6 St & Avenue B,-73.981854,40.724537,89811
Great Jones St,-73.99379,40.727434,89714
Broadway & W 49 St,-73.984527,40.760683,89421
W 17 St & 8 Ave,-74.001497,40.741776,89402
W 20 St & 7 Ave,-73.997262,40.742388,89322
Allen St & Hester St,-73.991908,40.716059,88781
Broadway & W 41 St,-73.98658,40.755136,88753
W 20 St & 8 Ave,-74.00004,40.743453,88209
E 6 St & Avenue D,-73.976687,40.722281,87905
W 20 St & 11 Ave,-74.007756,40.746745,87755
5 Ave & E 29 St,-73.986831,40.745168,87747
E 72 St & York Ave,-73.953483,40.766638,86935
Broadway & W 29 St,-73.988557,40.746201,86555
Vesey Pl & River Terrace,-74.01658354,40.7153379,85904
E 20 St & 2 Ave,-73.98205,40.735877,85597
E 20 St & Park Ave,-73.98752,40.738274,85011
Suffolk St & Stanton St,-73.98518,40.720664,84977
W 25 St & 6 Ave,-73.991449,40.743954,84936
Gansevoort St & Hudson St,-74.00507,40.739448,83909
W 30 St & 10 Ave,-74.002353,40.752694,83895
North Moore St & Greenwich St,-74.010301,40.720195,83797
E 19 St & 3 Ave,-73.984738,40.736245,83647
11 Ave & W 27 St,-74.005226,40.751396,83459
Columbus Ave & W 95 St,-73.968087,40.791956,83032
11 Ave & W 59 St,-73.99046,40.771497,82990
Centre St & Chambers St,-74.004607,40.712733,82754
1 Ave & E 5 St,-73.986389,40.725864,82640
Riverside Dr & W 72 St,-73.985624,40.780578,82070
Queens Plaza North & Crescent St,-73.940737,40.751102,81769
