time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,4262,5647,8856,12895,14533,22752,26750,22373,22139,23163,14229,10172,187771
1,3592,3916,6630,9090,10166,16462,20331,16465,15581,17099,11503,7149,137984
2,2732,2832,4620,6691,7551,11225,14665,11842,10980,12008,6704,4749,96599
3,1555,1652,3133,4552,5108,7438,9302,7714,7164,7662,4103,3055,62438
4,1009,1159,1994,3355,3738,5011,6002,4783,4228,4362,2595,2177,40413
5,801,847,1388,2246,2791,3546,4683,3585,3254,3326,2500,1757,30724
6,1851,2120,3180,4439,5701,7013,9303,7569,7177,6625,4708,3555,63241
7,3437,4569,5963,9382,9986,12425,15691,14141,13225,12611,9157,6548,117135
8,5798,7799,10043,16900,17781,19688,26579,23936,22257,22602,16922,11422,201727
9,8961,12547,15571,26476,29344,31652,40183,38248,35225,37002,27406,19435,322050
10,12799,17518,21602,36443,42323,44504,55036,53132,49343,50236,37588,21819,442343
11,16615,21845,26037,43852,53749,54444,67166,64366,58452,58822,45343,24429,535120
12,19294,24587,30945,49814,59292,62442,75097,68456,63520,67728,49259,27503,597937
13,21165,26037,34789,54868,61985,68272,78420,67558,64913,71052,51109,30974,631142
14,22586,26717,36258,56528,66248,69844,80072,65524,67596,75528,49939,29366,646206
15,23281,26494,37416,57816,64753,69772,79815,67014,69597,77537,49901,27990,651386
16,21645,25117,35468,56942,58289,67787,81311,68600,65797,74723,50095,29183,634957
17,16305,22782,32798,52884,57447,67213,80880,68653,63449,70575,42236,22738,597960
18,13271,17858,28934,45855,54743,64168,78750,66596,60652,59230,34543,20024,544624
19,9815,13436,20785,36689,46960,56767,71099,59169,49259,45864,28441,17357,455641
20,6746,9579,14770,22822,34268,44401,56587,43742,34707,34538,21771,13846,337777
21,4932,7450,11041,15501,25451,32638,42591,33402,26298,27599,18022,10791,255716
22,4423,7175,8138,13008,21037,27137,34999,28354,22661,23530,15747,9559,215768
23,3543,5518,7043,10918,16391,21497,27167,22344,19374,20388,13404,8391,175978
