time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,7831,11025,14717,15941,21016,37482,28930,30744,35996,31406,23644,13401,272133
1,5147,7347,10375,11010,14458,25804,20919,22455,24467,21820,18093,8814,190709
2,3128,4844,6593,7346,9980,18066,14926,15912,17245,14807,10662,5564,129073
3,2091,3141,4956,5089,6743,11777,9787,11041,11187,10142,7001,3627,86582
4,1457,2178,3523,3621,4447,8004,6461,6890,7131,6442,4800,2545,57499
5,1445,1882,2980,3053,4145,6710,5005,5353,5297,4976,4564,2285,47695
6,3429,3979,5816,6615,8374,12846,8961,11684,10282,9334,8721,4293,94334
7,6190,8099,11091,12495,14633,23793,15550,20452,19864,18045,16746,8032,174990
8,11549,14235,19584,21597,24527,37934,26055,34031,32901,31369,30108,13828,297718
9,17941,22617,30877,33943,38385,58529,42276,55586,51151,49799,47875,22616,471595
10,24952,29920,42159,46439,52388,78287,55398,75996,69081,67551,63357,30709,636237
11,29652,35945,52368,58097,61251,94586,66278,90860,83716,83638,76804,37161,770356
12,30676,40206,57921,67100,69864,105781,77253,100071,94133,97369,84209,42477,867060
13,31621,43002,60625,70523,74206,112131,83108,104319,93673,102309,87754,46098,909369
14,32757,43981,62067,74780,74102,117340,85963,103882,96278,105872,88288,47300,932610
15,31406,45138,61321,76999,73525,115987,86291,103893,97843,106705,89401,47462,935971
16,28918,44052,58303,74163,70120,109062,84323,96773,97466,106244,83809,45297,898530
17,23570,41163,56204,69238,66923,109040,88422,84745,97849,101647,71454,38226,848481
18,21152,33443,51932,64337,64457,106178,84955,87498,95364,89258,61932,34827,795333
19,17605,25624,39911,51805,52900,96586,78041,70207,80674,68997,52309,29012,663671
20,13699,19265,27813,35108,39694,77113,63960,53392,57218,51301,39687,22694,500944
21,11137,15398,21759,23302,30481,57100,49104,44489,46813,41762,32955,18041,392341
22,9704,13632,18753,20089,26154,47560,40927,39065,40098,35894,27261,15727,334864
23,8608,14244,14582,16772,21317,37402,32690,30656,34057,30539,22546,13085,276498
