time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,2031,1755,2636,3377,4256,5547,5899,5500,6129,6028,3630,2808,49596
1,1304,1165,1706,1863,2757,3488,4054,3681,3622,4147,2621,1858,32266
2,763,804,855,1204,1948,2359,2760,2370,2454,2838,1426,1204,20985
3,465,538,740,781,1128,1695,1827,1538,1686,1814,875,692,13779
4,317,324,483,504,711,989,1147,1107,1020,1065,596,435,8698
5,261,269,353,451,657,813,976,796,777,792,589,341,7075
6,543,672,872,1191,1526,1932,2382,2031,1924,1923,1488,867,17351
7,1239,1520,2048,2831,3247,4136,4896,4705,4571,4471,3830,2090,39584
8,2901,3402,4497,5253,6813,7637,9454,8931,9384,9111,7554,4138,79075
9,5403,5690,7801,9392,11568,12756,15375,15324,16127,16025,13218,7072,135751
10,7452,7840,10966,13207,16197,18325,20852,21951,22803,23134,17352,9538,189617
11,9534,10161,13996,17881,20163,21816,25553,26183,28325,28778,21363,11733,235486
12,10717,11708,16035,20898,22839,24693,27665,26340,32847,32667,24678,13647,264734
13,11924,12473,17686,22592,24819,26509,30014,25866,33800,34100,25393,14276,279452
14,12290,12703,17766,23578,24929,27804,31588,26173,34499,33773,25488,13908,284499
15,11973,12913,18214,23963,25027,27463,29164,26762,34984,35613,25350,14446,285872
16,11236,12805,17115,24344,24458,27144,26880,25955,35551,34668,23814,13284,277254
17,8621,10877,15407,22950,23885,27271,27286,24848,34085,31318,18856,10267,255671
18,7393,7735,12750,20710,20542,24371,26871,22173,31008,24558,15072,8690,221873
19,6128,5716,9303,15491,15480,19004,23274,19122,24079,17914,11813,7036,174360
20,4492,4000,5994,9551,11233,14604,17670,14218,16240,13777,8951,5344,126074
21,3413,2849,4518,6630,7975,9944,12670,10584,12260,10672,6458,4353,92326
22,2938,2867,3536,5178,6338,8216,8884,8363,10111,8805,5206,3728,74170
23,2162,2229,2586,4034,4620,6688,6521,6377,7780,7064,3676,2886,56623
