time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,10227,6898,8025,14776,17892,18704,27936,23609,24264,24411,15895,17974,210611
1,8294,4921,5532,10208,12559,14416,20340,16961,16936,17877,11886,12386,152316
2,6045,3234,3240,7033,8262,10467,14875,10911,11876,13069,6864,8285,104161
3,3942,2193,2806,4758,5166,6974,9664,6830,7910,8882,4320,5566,69011
4,2456,1457,1913,3240,3383,4494,6272,4858,5056,5573,3136,3557,45395
5,1849,1387,1514,2520,3269,3680,4893,3814,3958,3957,3014,2802,36657
6,3718,3091,3276,5015,6420,6886,9234,8511,7873,7522,5843,5467,72856
7,6996,5971,6308,9863,11839,13111,16938,14726,14893,13544,11471,10244,135904
8,12623,11096,11461,16699,21143,21298,27203,25517,23407,21763,20194,18082,230486
9,20142,17214,18471,27453,32680,34087,42349,42511,35308,33635,31527,28264,363641
10,27584,22040,26420,38346,43639,46078,55770,59260,45530,42832,42079,38219,487797
11,33952,27191,32522,48964,54291,56714,67665,71097,53267,53373,50879,45502,595417
12,39032,30256,37103,57552,61244,64192,73165,76250,62512,61512,57903,49731,670452
13,41146,32668,40690,62337,65012,69261,78922,75502,65216,62913,60530,48764,702961
14,41708,33943,42089,65086,66911,68668,82448,76707,68815,65346,61099,48662,721482
15,41633,35185,41513,67894,67143,70336,84767,76286,69481,65934,59196,51120,730488
16,37751,34250,39606,66685,66181,69688,83003,77351,68038,69827,54797,47733,714910
17,30277,31382,37507,60950,62984,68749,79562,76326,66245,68279,45538,41246,669045
18,26202,25570,32592,53602,60236,64600,74353,73671,65486,60983,38750,37365,613410
19,21003,19630,25408,39321,52008,55631,62849,65225,56330,48066,31673,31818,508962
20,16738,14858,18210,26428,37997,44069,51840,49710,35714,36451,24296,24012,380323
21,12707,11873,14109,20196,27308,33714,41463,38356,29302,29143,19671,20167,298009
22,11224,10999,11744,16216,22755,28342,33863,31621,25319,24526,16461,18008,251078
23,9374,8246,9755,12841,19071,21399,27684,24460,21934,21133,13913,15756,205566
