time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,3930,3490,4981,7370,9176,11467,14238,14259,12298,10355,7182,5107,103853
1,2215,1608,2263,3564,4663,5445,7668,7294,6370,5114,3454,2695,52353
2,1353,883,1236,2063,2813,3040,4258,4390,3628,2935,1987,1643,30229
3,893,632,841,1241,1771,1943,2715,2626,2340,1945,1402,1196,19545
4,1693,1481,1752,2193,2671,2792,3577,3453,3473,3241,2450,1632,30408
5,7600,6654,7437,9655,11904,11252,13318,13795,14448,14231,10163,6263,126720
6,23643,21867,24523,33989,39657,35644,43842,46261,46718,44007,32485,19428,412064
7,48888,45550,51619,74171,83536,72274,87491,89814,101927,97086,69367,41304,863027
8,84837,79682,94038,132492,142453,121070,146093,153442,171109,171197,121865,70974,1489252
9,58828,55656,70778,98011,104632,92477,111243,114143,117954,118845,85678,54135,1082380
10,30990,30133,39057,56259,62588,54446,66008,66346,69894,66742,50307,34572,627342
11,28946,28274,37090,52299,61610,52914,65043,67055,66202,61554,48052,34308,603347
12,34457,33088,43758,60365,73363,60262,77707,75981,77154,72118,53796,38070,700119
13,36425,34589,45806,62970,74093,64661,81507,77713,78489,75516,55149,39630,726548
14,38477,36136,48097,66389,79693,68688,81684,80715,82252,79856,59222,42015,763224
15,40846,40060,52613,72921,87655,73511,85505,88141,88520,87720,64792,43837,826121
16,51290,50293,65809,87666,106410,93236,107860,110355,112252,109383,78398,47970,1020922
17,80622,76826,105678,140229,158647,150472,170931,175164,188207,175969,110183,63710,1596638
18,74763,68308,100866,135287,145952,148990,169503,171200,183115,161446,99074,58826,1517330
19,48257,43917,64452,85282,101041,106258,122830,125390,117562,100052,64826,40037,1019904
20,31698,29144,41603,53840,65889,76705,86321,81901,78694,66881,44002,26936,683614
21,21572,20154,26917,36944,43232,51575,59717,57546,55612,48889,32096,19640,473894
22,15190,14209,19365,27091,33190,37995,46298,43280,40455,35760,23382,15100,351315
23,8792,8327,12243,16320,22710,24604,29852,28824,25867,23440,14703,9995,225677
