time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,2318,2717,4275,4559,6430,8272,8947,9150,9276,7866,6558,4548,74916
1,1358,1209,1975,2021,2812,3756,4026,4370,4507,3599,3101,2243,34977
2,769,674,1022,1121,1571,1984,2314,2313,2264,1715,1622,1154,18523
3,550,427,572,710,951,1245,1359,1365,1344,998,968,681,11170
4,747,738,963,1035,1197,1518,1622,1769,1874,1594,1462,997,15516
5,3056,3648,4593,4662,5290,7330,6907,8067,8440,8280,7089,4785,72147
6,11325,13684,17996,19894,21809,29225,27412,33168,31385,31131,27031,17638,281698
7,22592,27514,39387,41638,47951,61208,54541,67132,70391,70379,58425,37915,599073
8,42229,49641,73355,75219,86145,107598,92398,115260,119234,122625,99558,68452,1051714
9,30149,35330,54127,55562,62498,77398,69923,84923,80706,82256,66577,49785,749234
10,15339,17321,28462,29760,37111,44407,40900,47401,49007,47090,38974,28890,424662
11,14143,14855,28022,28939,36898,42967,39957,45510,48895,44116,35843,27634,407779
12,16250,16763,32362,33074,43647,48730,46550,52163,57796,51649,40469,31456,470909
13,17136,17293,34829,34804,46226,51591,49571,55177,60999,54651,44325,33228,499830
14,18776,18716,37033,37867,47970,53047,50112,56592,62464,57223,47426,35946,523172
15,20084,19968,39832,40071,50722,56665,53362,60540,65882,63281,51425,38696,560528
16,25529,26049,51099,51410,62790,73659,65312,79663,84796,81689,62890,46940,711826
17,40226,43889,81541,82990,96895,121131,97741,129639,129233,130906,90922,64716,1109829
18,38489,43743,75571,80199,96570,120633,98613,130182,128318,124126,86770,58220,1081434
19,25178,28632,48366,50428,65688,83371,74199,92238,86408,76713,56868,38277,726366
20,15701,18418,30765,32005,43565,56746,50840,59802,55156,50614,38337,25259,477208
21,10289,12686,21401,21712,29229,37853,36045,40829,37847,34787,27778,17736,328192
22,7323,8732,14746,15541,21244,26797,26273,30048,27791,25496,20429,13491,237911
23,4422,5212,9764,10074,13955,17983,17524,19464,18777,16033,12798,8864,154870
