,longitude,latitude,usage
West St & Chambers St,-74.013221,40.717548,201198
W 21 St & 6 Ave,-73.994156,40.74174,199536
12 Ave & W 40 St,-74.002777,40.760875,196760
E 17 St & Broadway,-73.990093,40.73705,184013
Broadway & W 60 St,-73.981918,40.769155,182664
Christopher St & Greenwich St,-74.007114,40.732916,172891
E 13 St & Avenue A,-73.98068,40.729667,169307
Pier 40 - Hudson River Park,-74.011296,40.727714,159959
Broadway & E 22 St,-73.989551,40.740343,159164
Broadway & E 14 St,-73.990741,40.734546,149673
Pershing Square North,-73.977706,40.751873,148567
E 33 St & 1 Ave,-73.974498,40.743227,148369
Carmine St & 6 Ave,-74.00215,40.730386,148228
Broadway & W 25 St,-73.989186,40.742869,146460
University Pl & E 14 St,-73.992085,40.734814,144074
Grand St & Elizabeth St,-73.99596,40.718822,143911
Central Park S & 6 Ave,-73.97634151,40.76590936,139755
FDR Drive & E 35 St,-73.971212,40.744219,137506
6 Ave & W 33 St,-73.988484,40.749013,137370
9 Ave & W 22 St,-74.001971,40.745497,134129
Broadway & W 56 St,-73.981923,40.765265,133349
Cleveland Pl & Spring St,-73.997249,40.722104,132144
E 10 St & Avenue A,-73.98142,40.727408,130764
Greenwich Ave & 8 Ave,-74.002638,40.739017,129633
West St & Liberty St,-74.014847,40.711444,127659
8 Ave & W 33 St,-73.993934,40.751551,127479
11 Ave & W 41 St,-73.998842,40.760301,125244
W 24 St & 7 Ave,-73.995299,40.744876,124915
W 22 St & 10 Ave,-74.004519,40.74692,124850
Little West St & 1 Pl,-74.016777,40.705693,124476
W 4 St & 7 Ave S,-74.002939,40.734011,124390
2 Ave & E 31 St,-73.977061,40.742909,122252
8 Ave & W 31 St,-73.994685,40.750585,119667
Lafayette St & E 8 St,-73.991026,40.730207,119234
1 Ave & E 16 St,-73.981656,40.732219,117277
8 Ave & W 52 St,-73.985162,40.763707,117055
W 41 St & 8 Ave,-73.990026,40.756405,116051
Clinton St & Grand St,-73.98703,40.715595,115595
E 31 St & 3 Ave,-73.979661,40.743943,110855
W 15 St & 7 Ave,-73.999318,40.739355,109437
E 7 St & Avenue A,-73.983799,40.726218,109332
Lexington Ave & E 26 St,-73.983293,40.741459,106804
W 22 St & 8 Ave,-73.999154,40.744751,106567
