time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,3084,3874,4132,5178,9783,10360,11716,12108,9439,9033,6415,5431,90553
1,1505,1842,2023,2551,5009,5118,5943,6104,4542,4595,3169,2675,45076
2,786,938,1070,1448,2698,2657,3181,3397,2559,2423,1803,1449,24409
3,539,642,717,830,1543,1703,1845,2146,1557,1490,1088,912,15012
4,949,997,1075,1192,2202,2162,2537,2840,2231,2595,1944,1572,22296
5,5189,6091,5687,6762,10777,10556,10756,11735,9090,11418,8431,6791,103283
6,16206,20890,19491,23223,39174,36332,35968,42304,32290,40433,29799,21769,357879
7,34215,43981,40484,49664,85113,73836,71940,81657,70262,89630,63567,46196,750545
8,60041,76329,75482,85524,145333,130754,126336,143162,118958,152174,106737,80959,1301789
9,42397,52807,53689,63270,101577,97239,93685,103339,84454,104318,74722,57093,928590
10,22506,28497,28578,35665,59078,56958,55600,59436,51461,60181,41547,33671,533178
11,20428,27047,27069,32819,59526,55008,54491,59228,51605,55959,40018,32700,515898
12,23696,32332,32354,39611,68626,63670,63953,68844,59301,68303,47507,38200,606397
13,25346,33200,33209,40413,71250,68286,68365,72366,60857,72211,48486,40135,634124
14,27870,34194,35752,42858,75445,69915,67812,71278,63610,76558,49533,40693,655518
15,30589,36583,39234,47564,81035,75926,72665,76189,70626,82891,50399,43667,707368
16,38470,45213,48158,62265,102398,99887,93573,100401,84827,103841,61229,50685,890947
17,60523,72480,75672,100553,154666,154280,140827,161653,135593,158754,88431,69300,1372732
18,58220,68080,73459,100085,151671,151813,137899,162714,130741,148909,83942,64723,1332256
19,37193,45497,47046,65790,101919,105925,102288,111652,86792,94424,55233,43777,897536
20,24093,29945,29378,41395,69170,72861,73260,74861,58918,63520,37480,29551,604432
21,15988,20459,19552,28633,45749,48945,51034,52006,41858,46125,27592,21603,419544
22,11532,14153,13668,20180,33616,37121,39008,38546,31240,32554,19835,16149,307602
23,6668,8407,8442,12764,22123,23617,24443,24402,20803,20709,12907,10794,196079
