,longitude,latitude,usage
E 17 St & Broadway,-73.99009296,40.73704984,114743
W 20 St & 11 Ave,-74.007756,40.746745,103423
Lafayette St & E 8 St,-73.9907647,40.73028666,101353
8 Ave & W 31 St,-73.99481051,40.75044999,95292
Broadway & E 14 St,-73.99074142,40.73454567,93352
West St & Chambers St,-74.01322069,40.71754834,90834
Pershing Square N,-73.97770164,40.75188406,89935
W 21 St & 6 Ave,-73.99415556,40.74173969,81531
Cleveland Pl & Spring St,-73.99720307,40.7218158,80400
Broadway & W 24 St,-73.98915076,40.7423543,79495
University Pl & E 14 St,-73.99200509,40.73492695,79359
Broadway & E 22 St,-73.98955109,40.7403432,79003
W 41 St & 8 Ave,-73.9900262,40.75640548,76624
Broadway & W 60 St,-73.98191841,40.76915505,72604
Carmine St & 6 Ave,-74.00214988,40.73038599,71354
8 Ave & W 33 St,-73.993934,40.751551,70964
Vesey Pl & River Terrace,-74.01658354,40.7153379,69894
Greenwich Ave & 8 Ave,-74.0026376103,40.7390169121,68966
W 4 St & 7 Ave S,-74.00293877,40.73401143,67119
E 43 St & Vanderbilt Ave,-73.9779874,40.75320159,66780
Christopher St & Greenwich St,-74.00711384,40.73291553,66713
Broadway & W 58 St,-73.98169333,40.76695317,65759
W 18 St & 6 Ave,-73.99456405,40.73971301,64543
2 Ave & E 31 St,-73.97706058,40.74290902,64518
Centre St & Chambers St,-74.0046073,40.71273266,63855
W 22 St & 10 Ave,-74.00451887,40.74691959,63853
E 39 St & 2 Ave,-73.9734419,40.74780373,63003
MacDougal St & Prince St,-74.00297088,40.72710258,62555
Barclay St & Church St,-74.01020234,40.71291224,60578
W 17 St & 8 Ave,-74.00149746,40.74177603,60471
Barrow St & Hudson St,-74.00674436,40.73172428,60293
9 Ave & W 14 St,-74.00550867,40.7405826,59925
W 39 St & 9 Ave,-73.99372222,40.75645824,58618
W 33 St & 7 Ave,-73.99093085,40.75019995,58414
Central Park S & 6 Ave,-73.97634151,40.76590936,58327
W 25 St & 6 Ave,-73.99144871,40.74395411,58326
Lawrence St & Willoughby St,-73.98631746,40.69236178,58222
West Thames St,-74.01713445,40.70834698,58202
W Houston St & Hudson St,-74.00748842,40.72873888,57991
Grand Army Plaza & Central Park S,-73.97371465,40.7643971,57017
W 24 St & 7 Ave,-73.99529885,40.74487634,56885
9 Ave & W 22 St,-74.00197139,40.7454973,56437
E 32 St & Park Ave,-73.98194829,40.7457121,55930
Lexington Ave & E 24 St,-73.98409214,40.74025878,55887
W 15 St & 7 Ave,-73.99931783,40.73935542,55413
W 27 St & 7 Ave,-73.993915,40.746647,54280
E 11 St & 2 Ave,-73.98672378,40.73047309,53985
Washington Square E,-73.9957214,40.73049393,53984
Greenwich St & Warren St,-74.01121978,40.71542197,53576
Mott St & Prince St,-73.99480012,40.72317958,52542
W 38 St & 8 Ave,-73.99138152,40.75466591,52395
W 13 St & 6 Ave,-73.99704374,40.73649403,52261
W Broadway & Spring St,-74.00154702,40.72490985,51466
1 Ave & E 15 St,-73.98165557,40.73221853,51331
W 49 St & 8 Ave,-73.98788205,40.76227205,51101
Allen St & Rivington St,-73.98997825,40.72019576,51045
W 22 St & 8 Ave,-73.99915362,40.74475148,50601
9 Ave & W 16 St,-74.00443172,40.74206539,50496
LaGuardia Pl & W 3 St,-73.99810231,40.72917025,50458
E 4 St & 2 Ave,-73.98978041,40.7262807,50360
E 25 St & 2 Ave,-73.97973776,40.73912601,50286
Great Jones St,-73.99379025,40.72743423,50235
St Marks Pl & 2 Ave,-73.98713956,40.7284186,50233
Lexington Ave & E 26 St,-73.98320928,40.74147286,49931
Mercer St & Bleecker St,-73.99695094,40.72679454,49649
W 20 St & 7 Ave,-73.99726235,40.74238787,49617
Broadway & W 41 St,-73.98658032,40.75513557,49547
9 Ave & W 45 St,-73.9912551,40.76019252,48872
Pershing Square S,-73.97798848,40.75149263,48748
Broadway & W 32 St,-73.98808416,40.74854862,48736
E 58 St & 3 Ave,-73.96724467,40.76095756,48700
W 56 St & 6 Ave,-73.97722479,40.76340613,48663
8 Ave & W 52 St,-73.9851615,40.76370739,47735
E 31 St & 3 Ave,-73.97966069,40.74394314,47531
6 Ave & W 33 St,-73.98848395,40.74901271,47452
E 11 St & 1 Ave,-73.98426726,40.72953837,46988
W 26 St & 10 Ave,-74.002950346,40.749717753,46885
W 43 St & 10 Ave,-73.99461843,40.76009437,46816
Broadway & W 49 St,-73.98442659,40.76064679,46632
12 Ave & W 40 St,-74.00277668,40.76087502,46587
E 10 St & Avenue A,-73.98142006,40.72740794,45067
E 12 St & 3 Ave,-73.98889957,40.73223272,45021
Washington St & Gansevoort St,-74.008119,40.739323,44975
Broadway & W 53 St,-73.98268129,40.76344058,44827
Sullivan St & Washington Sq,-73.99906065,40.73047747,44822
Broadway & W 29 St,-73.98855723,40.7462009,44495
