,longitude,latitude,usage
Pershing Square North,-73.977706,40.751873,297583
W 21 St & 6 Ave,-73.99415556,40.74173969,202508
Broadway & E 22 St,-73.98955109,40.7403432,202240
E 17 St & Broadway,-73.99009296,40.73704984,201831
West St & Chambers St,-74.01322069,40.71754834,201374
Broadway & E 14 St,-73.99074142,40.73454567,170297
8 Ave & W 33 St,-73.993934,40.751551,170112
Greenwich Ave & 8 Ave,-74.0026376103,40.7390169121,164515
Cleveland Pl & Spring St,-73.99724900722504,40.722103786686034,163498
W 20 St & 11 Ave,-74.007756,40.746745,162475
12 Ave & W 40 St,-74.00277668,40.76087502,160793
W 41 St & 8 Ave,-73.9900262,40.75640548,159461
Carmine St & 6 Ave,-74.00214988,40.73038599,158380
Central Park S & 6 Ave,-73.97634151,40.76590936,148075
Broadway & W 24 St,-73.98915076,40.7423543,147890
E 47 St & Park Ave,-73.97498696,40.75510267,145355
South End Ave & Liberty St,-74.015756,40.711512,142927
W 18 St & 6 Ave,-73.99456405,40.73971301,141837
W 31 St & 7 Ave,-73.9916,40.749156,139988
W 38 St & 8 Ave,-73.99138152,40.75466591,138304
Christopher St & Greenwich St,-74.00711384,40.73291553,136883
Great Jones St,-73.99379025,40.72743423,132553
Vesey Pl & River Terrace,-74.01658354,40.7153379,132237
University Pl & E 14 St,-73.99200509,40.73492695,129709
W 52 St & 5 Ave,-73.97648516,40.75992262,128467
W 33 St & 7 Ave,-73.99093085,40.75019995,127374
Centre St & Chambers St,-74.0046073,40.71273266,125893
W 26 St & 8 Ave,-73.99723551,40.74734825,122367
E 32 St & Park Ave,-73.98194829,40.7457121,122271
8 Ave & W 31 St,-73.9946848154068,40.7505853470215,122090
Barrow St & Hudson St,-74.00674436,40.73172428,121354
MacDougal St & Prince St,-74.00297088,40.72710258,120518
9 Ave & W 22 St,-74.00197139,40.7454973,119277
Broadway & W 60 St,-73.98191841,40.76915505,119148
6 Ave & W 33 St,-73.98848395,40.74901271,118005
W 24 St & 7 Ave,-73.99529885,40.74487634,115981
LaGuardia Pl & W 3 St,-73.99810231,40.72917025,113195
Cooper Square & E 7 St,-73.99086803197861,40.72923649910006,113195
E 16 St & 5 Ave,-73.99238967,40.73726186,113089
E 33 St & 2 Ave,-73.976056,40.744023,112971
Broadway & W 58 St,-73.98169333,40.76695317,112738
E 7 St & Avenue A,-73.98379855,40.72621788,112062
E 39 St & 2 Ave,-73.9734419,40.74780373,110766
E 10 St & Avenue A,-73.98142006,40.72740794,110764
W 17 St & 8 Ave,-74.00149746,40.74177603,109604
E 12 St & 3 Ave,-73.98889957,40.73223272,108727
E 20 St & 2 Ave,-73.98205027,40.73587678,107859
E 25 St & 2 Ave,-73.97973776,40.73912601,107832
W 15 St & 7 Ave,-73.99931783,40.73935542,107771
Barclay St & Church St,-74.01020234,40.71291224,107196
St Marks Pl & 2 Ave,-73.98713956,40.7284186,106982
9 Ave & W 45 St,-73.9912551,40.76019252,105993
11 Ave & W 27 St,-74.005226,40.751396,105989
W 4 St & 7 Ave S,-74.00293877,40.73401143,105794
W 25 St & 6 Ave,-73.99144871,40.74395411,105746
Mott St & Prince St,-73.99480012,40.72317958,105739
E 14 St & Avenue B,-73.97772429,40.72938685,105546
Broadway & W 29 St,-73.98855723,40.7462009,104734
W 26 St & 10 Ave,-74.002950346,40.749717753,104409
9 Ave & W 18 St,-74.00366443,40.74317449,104259
Lafayette St & Jersey St,-73.99600982666016,40.72430527250332,104247
Greenwich St & W Houston St,-74.008591,40.728846,103951
Broadway & W 32 St,-73.98808416,40.74854862,103730
Broadway & W 49 St,-73.9845272898674,40.76068327096592,103355
W 39 St & 9 Ave,-73.99372222,40.75645824,103281
W 22 St & 10 Ave,-74.00451887,40.74691959,102738
E 11 St & 2 Ave,-73.98672378,40.73047309,102641
Lexington Ave & E 24 St,-73.98409214,40.74025878,102473
E 24 St & Park Ave S,-73.98602213,40.74096374,102395
Lafayette St & E 8 St,-73.9907647,40.73028666,102198
W 13 St & Hudson St,-74.00513872504234,40.73997354103409,101825
W 20 St & 7 Ave,-73.99726235,40.74238787,100684
E 15 St & 3 Ave,-73.986923,40.734232,99442
W 49 St & 8 Ave,-73.98788205,40.76227205,98753
W 16 St & The High Line,-74.00681753,40.74334935,98641
Greenwich St & Warren St,-74.01121978,40.71542197,97379
W 27 St & 7 Ave,-73.993915,40.746647,96606
W 13 St & 6 Ave,-73.99704374,40.73649403,96501
5 Ave & E 29 St,-73.98683077,40.7451677,96181
Little West St & 1 Pl,-74.01677685,40.70569254,95881
Broadway & W 55 St,-73.98192338,40.7652654,95428
Broadway & Battery Pl,-74.01361706,40.70463334,95397
W Broadway & Spring St,-74.00154702,40.72490985,94771
Lexington Ave & E 29 St,-73.98215353488922,40.74311555376486,94299
E 39 St & 3 Ave,-73.97604882,40.7489006,93972
Suffolk St & Stanton St,-73.98517977,40.72066442,93559
1 Ave & E 30 St,-73.97536082,40.74144387,92713
W 22 St & 8 Ave,-73.99915362,40.74475148,92650
W 44 St & 5 Ave,-73.98014437,40.75500254,92052
E 40 St & 5 Ave,-73.9816324043,40.752062307,91272
Pershing Square South,-73.97791,40.751581,90258
E 33 St & 5 Ave,-73.98490707,40.74765947,90123
Penn Station Valet,-73.99692445993422,40.751283596962296,89685
Greenwich Ave & Charles St,-74.000271,40.735238,89092
Forsyth St & Broome St,-73.99266288,40.71893904,88979
E 13 St & Avenue A,-73.98057249,40.72955361,88872
11 Ave & W 41 St,-73.99884222,40.76030096,88499
E 2 St & Avenue B,-73.98368779,40.72217444,88321
E 11 St & 1 Ave,-73.98426726,40.72953837,87040
E 30 St & Park Ave S,-73.98303529,40.74444921,86513
W 45 St & 8 Ave,-73.98859651,40.75929124,86335
Washington Pl & Broadway,-73.99404649,40.72903917,86026
W 20 St & 8 Ave,-74.00004031,40.74345335,85770
W 43 St & 10 Ave,-73.99461843,40.76009437,85031
E 3 St & 1 Ave,-73.98783413,40.72467721,84856
E 48 St & 5 Ave,-73.97805914282799,40.75724567911726,83833
Broadway & W 39 St,-73.98721619,40.75299641,83624
8 Ave & W 52 St,-73.9851615,40.76370739,83410
E 20 St & Park Ave,-73.98751968,40.73827428,83357
Stanton St & Chrystie St,-73.99147535,40.72229346,83312
W 42 St & 8 Ave,-73.99098507,40.7575699,83258
E 31 St & 3 Ave,-73.97966069,40.74394314,82870
Canal St & Rutgers St,-73.98990025,40.71427487,81640
E 20 St & FDR Drive,-73.97573881,40.73314259,81032
Sullivan St & Washington Sq,-73.99906065,40.73047747,80955
E 25 St & 1 Ave,-73.97738662,40.7381765,80078
E 16 St & Irving Pl,-73.98758561,40.73524276,79924
W 14 St & The High Line,-74.00803013,40.74195138,79427
W 43 St & 6 Ave,-73.98316936,40.75527307,79419
Allen St & Rivington St,-73.98997825,40.72019576,78884
Bank St & Hudson St,-74.00618026,40.73652889,78880
1 Ave & E 18 St,-73.98054420948029,40.73381219196632,77781
2 Ave & E 31 St,-73.97706058,40.74290902,77666
W 13 St & 5 Ave,-73.99453948,40.73543934,77532
West Thames St,-74.01713445,40.70834698,76442
Allen St & Hester St,-73.99190759,40.71605866,75723
E 23 St & 1 Ave,-73.97809472,40.736502,75318
University Pl & E 8 St,-73.99490341544151,40.73143724085228,75251
Washington St & Gansevoort St,-74.008119,40.739323,75191
E 6 St & Avenue B,-73.98185424,40.72453734,74976
W 47 St & 10 Ave,-73.99301222,40.76269882,74935
Howard St & Centre St,-73.99973337,40.71910537,74496
W 46 St & 11 Ave,-73.99667444,40.76341379,74172
Liberty St & Broadway,-74.01043382,40.70905623,73901
Allen St & Stanton St,-73.989111,40.722055,72926
Broadway & W 51 St,-73.98336183,40.76228826,72287
E 53 St & Lexington Ave,-73.97069431,40.75828065,72267
E 27 St & 1 Ave,-73.976806,40.739445,72033
