time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,3998,3840,2798,1223,4397,7241,9684,14353,11480,11345,8843,3310,82512
1,2605,2729,1900,801,2665,4597,6393,9867,7514,7421,6409,2228,55129
2,1665,1739,875,462,1562,2435,3938,5605,4411,4259,3051,1410,31412
3,1012,1083,798,310,934,1380,2165,3298,2485,2393,1948,877,18683
4,604,729,574,275,613,929,1546,2152,1637,1540,1333,584,12516
5,564,646,548,480,1184,1707,1784,2290,1695,1857,1474,736,14965
6,1437,1603,1456,1637,3691,4327,4544,5597,4555,4582,4163,1853,39445
7,3453,4167,3263,2890,6828,8169,9303,10977,9334,9872,8874,3675,80805
8,7215,8493,6339,4101,10656,13415,15724,17347,16556,17533,15706,6151,139236
9,12132,14095,9760,5951,16502,20617,23091,28067,26518,28284,25202,9898,220117
10,16919,19083,13365,9356,23637,29172,30883,39578,37973,41415,36894,14376,312651
11,20616,23217,17232,13484,33852,37001,37410,48257,47895,52834,47229,18535,397562
12,22954,26067,21476,19225,45376,45782,41742,54390,56285,62023,54151,22575,472046
13,23913,26841,24609,26226,59015,50979,43265,58683,60040,66930,56771,25441,522713
14,24129,26915,27038,30824,66399,53189,44855,63108,62840,67840,57021,27811,551969
15,24226,27280,28608,32782,68554,53530,46744,65807,63698,69474,55512,28531,564746
16,22434,24648,28603,30629,67197,54852,47835,66646,63793,67745,50969,25451,550802
17,17573,21336,25434,25630,62387,55048,48488,68460,62014,62380,37267,18788,504805
18,15097,17239,19820,18564,53903,44782,47763,66556,56067,50578,29493,15102,434964
19,12001,13625,13008,11975,42173,35120,41426,57739,42472,34900,22807,12190,339436
20,9255,9883,8414,6304,25662,27765,34791,41752,27997,23843,16250,8775,240691
21,6940,7610,6104,3680,14056,17486,22844,28768,19496,17128,12615,6464,163191
22,5514,6653,4501,2714,9667,11615,17258,21869,15615,14371,10874,5804,126455
23,4249,4699,3150,1990,6685,8826,12580,17179,12886,11404,8544,4231,96423
